Date,WORLD VOTING RIGHTS-ADJUSTED
2018-12-03,1010.26207309829
2018-12-04,985.8664024783986
2018-12-05,982.726371083068
2018-12-06,970.1479050147527
2018-12-07,957.1059351914042
2018-12-10,951.9676113449611
2018-12-11,957.0658610096724
2018-12-12,963.994203734445
2018-12-13,965.0571879813842
2018-12-14,953.5864187485965
2018-12-17,936.8417623519064
2018-12-18,931.3384845136874
2018-12-19,919.5008741946314
2018-12-20,905.2869929016642
2018-12-21,892.1242474354622
2018-12-24,876.4246955595748
2018-12-25,872.5086624206266
2018-12-26,899.6094521374941
2018-12-27,906.0049757643718
2018-12-28,907.7365681846522
2018-12-31,914.662269273213
2019-01-31,981.1461572887923
2019-02-28,1018.6876154194019
2019-03-29,1046.398493182154
2019-04-30,1085.2271203846992
2019-05-31,1028.4052587503788
2019-06-28,1073.351614589899
2019-07-31,1101.8758252024213
2019-08-30,1090.9446703100105
2019-09-30,1126.2544261332134
2019-10-31,1128.8368588203964
2019-11-29,1173.7449560504922
2019-12-06,1173.4991630031416
2019-12-09,1169.3739784220827
2019-12-10,1165.8984926267954
2019-12-11,1169.089088819106
2019-12-12,1173.59556682599
2019-12-13,1177.2190412248885
2019-12-16,1185.9541824067405
2019-12-17,1183.8943948508943
2019-12-18,1185.0549179455243
2019-12-19,1189.5958098770661
2019-12-20,1197.831958621271
2019-12-23,1198.0311122695405
2019-12-24,1198.4738775075223
2019-12-25,1198.1411596233131
2019-12-26,1201.6680422254067
2019-12-27,1197.256824590725
2019-12-30,1187.5153936890044
2019-12-31,1187.8799171096973
2020-01-01,1187.883420469882
2020-01-02,1199.1072383526673
2020-01-03,1196.4600607988848
2020-01-06,1194.0456351883004
2020-01-07,1198.1857738896222
2020-01-08,1202.642921855973
2020-01-31,1194.738143268015
2020-02-14,1267.4101112227124
2020-02-28,1102.5662581006954
2020-03-31,957.4422763840237
2020-04-14,1038.0873066240135
2020-04-15,1019.6413034111732
2020-04-30,1062.5845745373385
2020-05-29,1095.536534427374
2020-06-30,1114.4408491064194
2020-07-21,1148.750865101895
2020-07-22,1141.4816582102187
2020-07-31,1108.1276335071823
2020-08-31,1167.6399169439567
2020-09-30,1149.0920229823942
2020-10-19,1167.8539394558966
2020-10-20,1165.3102606861348
2020-10-30,1119.4495207013313
2020-11-12,1210.2126731731012
2020-11-13,1219.015640811227
2020-11-30,1230.243659991412
2020-12-31,1255.3162222032188
2021-05-31,1394.388656709845
2021-06-01,1395.0557928541734
2021-06-02,1401.7318745435682
2021-06-03,1404.0258376508227
2021-06-04,1412.350380137642
2021-06-07,1410.6364210375987
2021-06-08,1411.2342925175785
2021-06-09,1409.008650466582
2021-06-10,1415.4858540415094
2021-06-11,1425.0428998424652
2021-06-14,1426.7339945386568
2021-06-15,1425.5646735477142
2021-06-16,1422.3132031542705
2021-06-17,1436.9871473543262
2021-06-18,1426.6535802579283
2021-06-21,1433.4513282813348
2021-06-22,1443.9669755842808
2021-06-23,1436.390676717685
2021-06-24,1446.314664853153
2021-06-25,1448.4715048798714
2021-06-28,1450.9359019513884
2021-06-29,1453.355789517292
2021-06-30,1455.9772152790608
2021-07-01,1460.0699618186702
2021-07-02,1471.8594339149447
2021-07-05,1471.4638763569492
2021-07-06,1471.5472751935554
2021-07-07,1479.0761697460384
2021-07-08,1459.262230774565
2021-07-09,1472.9357982443457
2021-07-12,1479.89547010779
2021-07-13,1481.1395432943468
2021-07-14,1482.05660080658
2021-07-15,1474.8549484125874
2021-07-16,1466.667354573934
2021-07-19,1442.928493187597
2021-07-20,1462.5645662374031
2021-07-21,1474.0926799906492
2021-07-22,1478.3363784172107
2021-07-23,1493.1435220420885
2021-07-26,1491.2368966954216
2021-07-27,1484.2104021979103
2021-07-28,1486.8861552245373
2021-07-29,1487.1107187622786
2021-07-30,1480.6366736618056
2021-08-02,1481.57805763678
2021-08-03,1492.0193563332953
2021-08-04,1489.6864724359093
2021-08-05,1498.2311837356176
2021-08-06,1506.786875440906
2021-08-09,1507.9510241411567
2021-08-10,1512.7104224485058
2021-08-11,1515.8330849077793
2021-08-12,1520.3746211732637
2021-08-13,1517.020018025416
2021-08-16,1516.1764205172024
2021-08-17,1515.1865061760468
2021-08-18,1505.0996567726684
2021-08-19,1501.9916118475653
2021-08-20,1510.3306239176927
2021-08-23,1518.1557891628142
2021-08-24,1519.7714971623475
2021-08-25,1522.7986029707085
2021-08-26,1515.012246662894
2021-08-27,1521.8801306909463
2021-08-30,1526.4226365558495
2021-08-31,1523.53431370796
2021-09-01,1522.0784956852797
2021-09-02,1526.3771610326394
2021-09-03,1525.8884239506585
2021-09-06,1531.3253683601815
2021-09-07,1528.0513298095418
2021-09-08,1527.24393611881
2021-09-09,1521.052245433246
2021-09-10,1512.4365964213525
2021-09-13,1517.9152021006275
2021-09-14,1511.7924246605085
2021-09-15,1517.6417410035526
2021-09-16,1522.2059857812515
2021-09-17,1513.2160442866152
2021-09-20,1490.635112845311
2021-09-21,1491.850010918495
2021-09-22,1503.3299902820597
2021-09-23,1517.1146527753974
2021-09-24,1520.5418518630047
2021-09-27,1518.7768043298186
2021-09-28,1492.5910187534787
2021-09-29,1499.3040769723448
2021-09-30,1491.2433118970666
2021-10-01,1497.7877960283513
2021-10-04,1480.6138994470125
2021-10-05,1495.6763929272765
2021-10-06,1501.807759334402
2021-10-07,1514.4652508784518
2021-10-08,1511.3412992505434
2021-10-11,1505.8817847306445
2021-10-12,1505.521146232643
2021-10-13,1508.4926882987534
2021-10-14,1529.1514952870132
2021-10-15,1539.8865952835522
2021-10-18,1541.889780436196
2021-10-19,1547.2935714903197
2021-10-20,1553.0080690440107
2021-10-21,1554.9062104060606
2021-10-22,1556.0606919291502
2021-10-25,1564.9049376147145
2021-10-26,1571.5966806152003
2021-10-27,1563.220682136893
2021-10-28,1565.9049972940936
2021-10-29,1577.2332520232578
2021-11-01,1583.1986312797421
2021-11-02,1586.7413480154055
2021-11-03,1593.9382823468918
2021-11-04,1605.4098215563592
2021-11-05,1608.199292583619
2021-11-08,1606.2615990565532
2021-11-09,1601.6904404351858
2021-11-10,1598.9610805471164
2021-11-11,1605.8212981513118
2021-11-12,1619.4012233876679
2021-11-15,1624.0092507205093
2021-11-16,1636.9768204111274
2021-11-17,1637.7390228549662
2021-11-18,1635.0888815739688
2021-11-19,1636.3387351930323
2021-11-22,1638.7265615838364
2021-11-23,1634.807986401531
2021-11-24,1644.859096035965
2021-11-25,1645.1640387362806
2021-11-26,1593.6750196521048
2021-11-29,1612.3237050514208
2021-11-30,1587.4865634639866
2021-12-01,1570.738968132986
2021-12-02,1584.747815400011
2021-12-03,1577.8742259590201
2021-12-06,1594.8304234514346
2021-12-07,1632.135011459356
2021-12-08,1625.5298367544203
2021-12-09,1620.4767983741444
2021-12-10,1626.3618667761264
2021-12-13,1617.2146506138995
2021-12-14,1605.878645433941
2021-12-15,1628.0649584115067
2021-12-16,1616.8021559380516
2021-12-17,1607.0615680380135
2021-12-20,1585.449869398448
2021-12-21,1615.1075423534285
2021-12-22,1622.5272526032052
2021-12-23,1635.9965071171312
2021-12-24,1633.45799741933
2021-12-27,1650.589118413783
