Date,AC ASIA WITH PARTIAL A SHARES
2008-11-28,1056.0305283125163
2008-12-31,1048.5415975438198
2009-01-30,1066.2597273979675
2009-02-27,967.3046390367252
2009-03-31,988.5404866377754
2009-04-30,1115.9244369338032
2009-05-29,1178.876327712463
2009-06-30,1198.8367070939482
2009-07-31,1284.847571205123
2009-08-31,1274.2293048501174
2009-09-30,1290.7341435994483
2009-10-30,1259.5393530525935
2009-11-30,1248.128016369119
2009-12-31,1339.527723226333
2010-01-29,1352.4994989638967
2010-02-26,1389.1576414681522
2010-03-31,1486.312329539464
2010-04-30,1526.563318713454
2010-05-31,1517.8424239498352
2010-06-30,1518.1381078803677
2010-07-30,1494.8789943763043
2010-08-31,1506.3114687381371
2010-09-30,1515.101579168597
2010-10-29,1523.8427092980914
2010-11-30,1629.9456979518575
2010-12-31,1683.8844696873455
2011-01-31,1640.007975507194
2011-02-28,1629.7796533717149
2011-03-31,1565.403733089768
2011-04-29,1530.9872369415061
2011-05-31,1556.9263348683703
2011-06-30,1533.7018175625608
2011-07-29,1581.5708328731446
2011-08-31,1435.2707027300555
2011-09-30,1418.647071028862
2011-10-31,1446.8713530045675
2011-11-30,1401.421792838874
2011-12-30,1463.2676577640063
2012-01-31,1564.5542502640992
2012-02-29,1616.2061483884825
2012-03-30,1605.008750925456
2012-04-30,1591.8978673363663
2012-05-31,1546.3009960875283
2012-06-29,1566.0267843489564
2012-07-31,1618.5888247229093
2012-08-31,1571.4266220131994
2012-09-28,1615.8086390238288
2012-10-31,1588.8727506887806
2012-11-30,1623.7130031315007
2012-12-31,1667.9583870181316
2013-01-31,1661.4207630602834
2013-02-28,1743.6581838666661
2013-03-29,1793.125701593323
2013-04-30,1832.6720817724693
2013-05-31,1803.0445660261473
2013-06-28,1755.3896675624044
2013-07-31,1739.5565626498874
2013-08-30,1720.777145533471
2013-09-30,1790.3281081145185
2013-10-31,1822.5893296384718
2013-11-29,1834.9154078117233
2013-12-31,1809.5658041446802
2014-01-31,1766.9109300466746
2014-02-28,1750.8591729745522
2014-03-31,1752.3758379986737
2014-04-30,1727.1183788298438
2014-05-30,1825.6637396049982
2014-06-30,1886.2891441483962
2014-07-31,1975.1812367945874
2014-08-29,1993.7648532008232
2014-09-30,2006.326316025266
2014-10-31,2031.9869829672396
2014-11-28,2049.6395832496637
2014-12-31,2076.5156592157673
2015-01-30,2279.5087832526888
2015-02-27,2380.2118693292373
2015-03-31,2512.909812834796
2015-04-30,2547.8538564578093
2015-05-29,2584.371400224174
2015-06-30,2469.3683261158235
2015-07-31,2408.1570688923007
2015-08-31,2185.710537103026
2015-09-30,2100.7045531028675
2015-10-30,2314.3760673343404
2015-11-30,2367.3890103365993
2015-12-31,2298.59728546233
2016-01-29,2118.2286294009814
2016-02-29,2072.0819260664407
2016-03-31,2138.2214707218
2016-04-29,2162.0894275000983
2016-05-31,2198.7839511839725
2016-06-30,2208.6678522863726
2016-07-29,2316.344501877268
2016-08-31,2373.449662837932
2016-09-30,2389.581748892881
2016-10-31,2444.1584658482775
2018-03-30,2832.5963006004167
2018-04-30,2902.5367163837773
2018-05-01,2920.4245263488287
2018-05-31,2970.468503559575
