Date,MSCI World Small Cap High Dividend Yield Index
2000-01-11,1239.514961629873
2001-11-12,1421.0939787372376
2005-06-27,2445.2575494735397
2009-03-25,1880.67411798442
2010-04-28,3503.5593572309026
2010-09-27,3557.92339128655
2013-10-28,5444.588861217373
2014-09-25,5977.386690341333
2017-07-31,8733.265454020651
2022-05-19,11774.1176790779
2022-05-20,11829.237743127356
2022-05-23,11880.973187499125
2022-05-24,11751.282154788205
2022-05-25,11865.445588276087
2022-05-26,11961.378055012094
2022-05-27,12116.540505438148
2022-05-30,12109.452554449163
2022-05-31,12081.222550760378
2022-06-01,12059.616619693088
2022-06-02,12119.049393529305
2022-06-03,12031.63395828428
2022-06-06,12093.464018796149
2022-06-07,12121.446236998214
2022-06-08,11986.31604871959
2022-06-09,11873.710294141281
2022-06-10,11719.084061464197
2022-06-13,11480.849153843401
2022-06-14,11394.100847402995
2022-06-15,11457.534970794668
2022-06-16,11129.228538881049
2022-06-17,11148.31300981213
2022-06-20,11083.878680334297
2022-06-21,11175.76372325516
2022-06-22,11117.122889627311
2022-06-23,11151.89574240349
2022-06-24,11395.066376247662
2022-06-27,11434.268793344645
2022-06-28,11471.12053747077
2022-06-29,11376.916058556211
2022-06-30,11318.148004646386
2022-07-01,11430.59650357105
2022-07-04,11432.001089086289
2022-07-05,11498.323852693202
2022-07-06,11539.893700186049
2022-07-07,11706.644400024523
2022-07-08,11715.829474065871
2022-07-11,11722.151201168937
2022-07-12,11751.359834567185
2022-07-13,11628.981512539991
2022-07-14,11585.15088922183
2022-07-15,11687.029095564687
2022-07-18,11650.51457747304
2022-07-19,11814.607477814014
2022-07-20,11940.407289698182
2022-07-21,12026.329187387995
2022-07-22,12028.098278811836
2022-07-25,12077.805053529613
2022-07-26,12121.863961439985
2022-07-27,12213.69731720293
2022-07-28,12331.512342229114
2022-07-29,12413.050318817632
2022-08-01,12410.303324605586
2022-08-02,12322.979863037082
2022-08-03,12416.759872384464
2022-08-04,12344.929526525975
2022-08-05,12367.820172023103
2022-08-08,12402.192914055055
2022-08-09,12339.88851986065
2022-08-10,12464.929435854436
2022-08-11,12544.618089548469
2022-08-12,12749.160664217467
2022-08-15,12820.57613620408
2022-08-16,12867.368185165182
2022-08-17,12777.844353802391
2022-08-18,12859.119129875631
2022-08-19,12791.906518642407
2022-08-22,12650.093319355783
2022-08-23,12611.029519128964
2022-08-24,12595.23851852425
2022-08-25,12711.913368119289
2022-08-26,12465.869297597297
2022-08-29,12333.059339318
2022-08-30,12283.111636575737
2022-08-31,12145.19202036511
2022-09-01,12101.752702366744
2022-09-02,12018.58151746806
2022-09-05,12069.385505963946
2022-09-06,11985.629139800858
2022-09-07,12005.67918465646
2022-09-08,12130.936454382745
2022-09-09,12232.950279530687
2022-09-12,12293.603811729663
2022-09-13,12105.02232812338
2022-09-14,12052.681462457229
2022-09-15,12022.574783337113
2022-09-16,11912.77294992025
2022-09-19,12010.196855082095
2022-09-20,11921.31603041512
2022-09-21,11953.453426377033
2022-09-22,11879.048599093963
2022-09-23,11750.26399380168
2022-09-26,11622.336305233692
2022-09-27,11565.066408572495
2022-09-28,11649.421934134878
2022-09-29,11375.862716973206
2022-09-30,11315.968949324752
2022-10-03,11489.613125616095
2022-10-04,11738.696956141946
2022-10-05,11739.242204085907
2022-10-06,11705.769201276555
2022-10-07,11543.095702408182
2022-10-10,11598.333569456936
2022-10-11,11554.628486943879
2022-10-12,11478.588177066846
2022-10-13,11655.027018895624
2022-10-14,11594.035502862705
2022-10-17,11696.709995358784
2022-10-18,11776.505228959095
2022-10-19,11716.098680494384
2022-10-20,11524.903053149914
2022-10-21,11630.724095894318
2022-10-24,11667.348025650912
2022-10-25,11789.277356646693
2022-10-26,11794.117296019846
2022-10-27,11892.432180195885
2022-10-28,12019.481142467832
2022-10-31,12111.951858097675
2022-11-01,12175.528445095646
2022-11-02,12039.854811107012
2022-11-03,12044.24067273705
2022-11-04,12098.305259691815
2022-11-07,12084.233710482538
2022-11-08,12093.098331652174
