Date,MSCI World Small Cap Quality Index
2022-05-19,11443.85865004033
2022-05-20,11499.695363548657
2022-05-23,11529.128348161152
2022-05-24,11343.471241188523
2022-05-25,11497.647477859146
2022-05-26,11638.488298325914
2022-05-27,11859.825537341925
2022-05-30,11885.759153278666
2022-05-31,11843.288734100808
2022-06-01,11799.861483529994
2022-06-02,11935.423376994904
2022-06-03,11849.450157227733
2022-06-06,11916.544665912592
2022-06-07,11951.633899920893
2022-06-08,11805.89696432101
2022-06-09,11689.761518592175
2022-06-10,11469.225419452769
2022-06-13,11173.48629987174
2022-06-14,11103.73092847266
2022-06-15,11176.830041992449
2022-06-16,10758.383914688065
2022-06-17,10812.346160666068
2022-06-20,10742.719210508307
2022-06-21,10839.406546239368
2022-06-22,10778.710984655801
2022-06-23,10879.043052065035
2022-06-24,11168.608525378862
2022-06-27,11197.814654933114
2022-06-28,11171.604080797746
2022-06-29,11090.454309806295
2022-06-30,11035.658739061217
2022-07-01,11147.113052447972
2022-07-04,11141.471504129886
2022-07-05,11301.9615556694
2022-07-06,11377.021282474463
2022-07-07,11621.473453500286
2022-07-08,11624.338547171552
2022-07-11,11588.223186686879
2022-07-12,11591.65069414499
2022-07-13,11495.684089576405
2022-07-14,11472.452934906583
2022-07-15,11575.567697063088
2022-07-18,11514.626992662368
2022-07-19,11724.738187720599
2022-07-20,11905.561905098666
2022-07-21,12046.25503676001
2022-07-22,12001.703472874551
2022-07-25,12002.540661257754
2022-07-26,12012.557697250048
2022-07-27,12179.41992296572
2022-07-28,12358.386020881626
2022-07-29,12476.626553161375
2022-08-01,12471.014902358678
2022-08-02,12349.302468328517
2022-08-03,12484.504252895245
2022-08-04,12426.37135714107
2022-08-05,12449.16482415523
2022-08-08,12479.208106132515
2022-08-09,12304.827140955707
2022-08-10,12487.03247961543
2022-08-11,12564.797786818537
2022-08-12,12775.716896072357
2022-08-15,12853.599965725321
2022-08-16,12884.701173384186
2022-08-17,12760.078940659327
2022-08-18,12857.706813619614
2022-08-19,12730.225739402587
2022-08-22,12573.752681517652
2022-08-23,12531.22969446115
2022-08-24,12541.773036992023
2022-08-25,12703.206649236423
2022-08-26,12371.06650471348
2022-08-29,12238.548201054453
2022-08-30,12159.681436430732
2022-08-31,12028.657388198513
2022-09-01,11943.26940252793
2022-09-02,11832.433745231992
2022-09-05,11884.623304496507
2022-09-06,11835.386886509179
2022-09-07,11888.612072522466
2022-09-08,12000.368267983515
2022-09-09,12129.923604547723
2022-09-12,12175.575207990869
2022-09-13,11914.100343920485
2022-09-14,11832.438844806624
2022-09-15,11771.864228074493
2022-09-16,11624.962626223694
2022-09-19,11727.658875325573
2022-09-20,11616.743147961442
2022-09-21,11663.826503272534
2022-09-22,11538.192095514825
2022-09-23,11428.084697060678
2022-09-26,11334.302854954823
2022-09-27,11353.332831866996
2022-09-28,11518.636723745985
2022-09-29,11247.438114146194
2022-09-30,11223.853007492637
2022-10-03,11422.018295547414
2022-10-04,11700.9307844974
2022-10-05,11722.753470408717
2022-10-06,11707.697678359504
2022-10-07,11500.658146202217
2022-10-10,11544.43383749776
2022-10-11,11491.383391556914
2022-10-12,11412.933440506418
2022-10-13,11555.41181271346
2022-10-14,11389.844078349663
2022-10-17,11549.223431324297
2022-10-18,11653.593254806818
2022-10-19,11522.34043078403
2022-10-20,11344.579053218598
2022-10-21,11503.1801823371
2022-10-24,11548.610864343314
2022-10-25,11750.505797676644
2022-10-26,11747.383348598545
2022-10-27,11805.63660627046
2022-10-28,11959.476495481287
2022-10-31,12012.3424126022
2022-11-01,12087.614661197902
2022-11-02,11863.452674690861
2022-11-03,11858.959607173185
2022-11-04,11875.108666404827
2022-11-07,11915.320958997936
2022-11-08,11968.008566559773
2022-11-09,11833.36195158277
2022-11-10,12294.091794600774
2022-11-11,12330.468752967412
2022-11-14,12204.585279156861
2022-11-15,12305.46310003944
2022-11-16,12109.423214003642
2022-11-17,12108.79417275677
2022-11-18,12179.214503979365
2022-11-21,12250.26291479402
2022-11-22,12351.66582462784
2022-11-23,12345.29554732865
2022-11-24,12380.934484996184
2022-11-25,12391.898848776995
2022-11-28,12206.676937936194
2022-11-29,12220.336711378675
2022-11-30,12428.747135549971
2022-12-01,12382.606063621508
2022-12-02,12376.071342442137
2022-12-05,12105.023662589303
2022-12-06,11997.523811259154
2022-12-07,11968.505779169984
2022-12-08,11974.789353595093
2022-12-09,11973.833281050589
2022-12-12,12024.832130252402
2022-12-13,12054.279602827237
2022-12-14,12005.409145652342
2022-12-15,11691.944595269182
2022-12-16,11626.612036978944
2022-12-19,11574.68570187505
2022-12-20,11551.870653837137
2022-12-21,11740.459757969113
2022-12-22,11653.383809897023
2022-12-23,11667.80959732266
2022-12-26,11674.519348273281
2022-12-27,11646.50334811115
2022-12-28,11549.119776692254
2022-12-29,11680.298944432334
2022-12-30,11618.503121718932
2023-01-02,11635.046657279847
2023-01-03,11775.269255592144
2023-01-04,11791.227327669309
2023-01-05,11775.246115972344
2023-01-06,11944.3778641206
2023-01-09,11889.417379399185
2023-01-10,11947.722244059656
2023-01-11,12001.072932606878
2023-01-12,12074.81356641194
2023-01-13,12137.999899151642
2023-01-16,12144.53306002058
2023-01-17,12153.97058292648
2023-01-18,12078.2688617341
2023-01-19,11972.090382398423
2023-01-20,12073.051258782165
2023-01-23,12175.197393388298
2023-01-24,12178.077351151675
2023-01-25,12156.098362380735
2023-01-26,12269.231810053934
2023-01-27,12327.90757190882
2023-01-30,12207.47073313057
2023-01-31,12380.060877725276
2023-02-01,12481.144334262877
2023-02-02,12707.667197728666
2023-02-03,12707.06867730243
2023-02-06,12664.987505238527
2023-02-07,12771.257052667355
2023-02-08,12672.080576968609
2023-02-09,12583.309168245793
2023-02-10,12600.396114128927
2023-02-13,12652.272025680559
2023-02-14,12681.53758485356
2023-02-15,12755.60703023057
2023-02-16,12729.899161244548
2023-02-17,12729.04444002336
2023-02-20,12721.104238328668
2023-02-21,12491.780393044834
2023-02-22,12506.38584348954
2023-02-23,12582.176772852268
2023-02-24,12558.921277295341
2023-02-27,12565.909370256108
2023-02-28,12579.697566562028
2023-03-01,12532.037658446481
2023-03-02,12594.08340734332
2023-03-03,12733.178213071738
2023-03-06,12575.34601482713
2023-03-07,12534.211047436638
2023-03-08,12587.103360141435
2023-03-09,12415.414276138217
2023-03-10,12058.69670718931
2023-03-13,11771.184883087832
2023-03-14,11907.24188817783
2023-03-15,11912.29452086916
2023-03-16,11982.27198448462
2023-03-17,11791.468603451516
2023-03-20,11807.71936584192
2023-03-21,11925.685344029522
2023-03-22,11757.566518676986
2023-03-23,11690.96022108117
2023-03-24,11802.515330734943
2023-03-27,11863.72472343226
2023-03-28,11822.525673396776
2023-03-29,11924.581579333304
2023-03-30,11889.547217658868
