Date,CHINA WITH PARTIAL A SHARES
2008-11-27,1066.9016145020248
2008-11-28,1099.8503740041185
2008-12-30,1072.91165636377
2008-12-31,1106.1902526151268
2009-01-29,1067.5553319876678
2009-01-30,1104.4657829785483
2009-02-26,1090.6391101893369
2009-02-27,1081.190400427522
2009-03-30,1171.7246000847585
2009-03-31,1179.66876406243
2009-04-29,1275.1053252063007
2009-04-30,1310.573092477537
2009-05-28,1424.9286131750403
2009-05-29,1434.3120376869451
2009-06-29,1524.3717864630082
2009-06-30,1510.8366455660937
2009-07-30,1648.509688717639
2009-07-31,1659.5231105342182
2009-08-28,1539.9687849495995
2009-08-31,1516.2342984061336
2009-09-29,1578.4880365263282
2009-09-30,1559.3274224863922
2009-10-29,1603.4065428919569
2009-10-30,1645.1881983152641
2009-11-27,1607.3285533200824
2009-11-30,1659.0905041571814
2009-12-30,1715.5081050770286
2009-12-31,1745.2731223976016
2010-01-28,1655.283260166173
2010-01-29,1645.3368375195084
2010-02-25,1710.9284321940806
2010-02-26,1715.5283640728449
2010-03-30,1847.4306835180662
2010-03-31,1823.3879181916425
2010-04-29,1814.8424122589718
2010-04-30,1846.9458766029663
2010-05-28,1873.9077185517979
2010-05-31,1888.8628880825302
2010-06-29,1923.9697038961608
2010-06-30,1914.1371316101047
2010-07-29,1876.1723435176966
2010-07-30,1882.9446711758724
2010-08-30,1894.6064160114017
2010-08-31,1877.4512635020194
2010-09-29,1914.4337731170504
2010-09-30,1903.0801667592334
2010-10-28,1951.774928470803
2010-10-29,1947.4050183606357
2010-11-29,2035.5761099316626
2010-11-30,2031.4702967434132
2010-12-30,1961.8681412088874
2010-12-31,1958.0064510257725
2011-01-28,1922.5686109935125
2011-01-31,1905.1879587397505
2011-02-25,1836.35715053314
2011-02-28,1858.6272099465061
2011-03-30,1901.5219391501157
2011-03-31,1901.9232271625795
2011-04-28,1858.4096475445676
2011-04-29,1849.114663401087
2011-05-30,1892.8914942237996
2011-05-31,1914.7478088771752
2011-06-29,1817.7059413617592
2011-06-30,1830.7688962840687
2011-07-28,1858.6289287386153
2011-07-29,1832.343625877036
2011-08-30,1624.5337862107551
2011-08-31,1660.86017293597
2011-09-29,1504.1143262102707
2011-09-30,1486.125295807468
2011-10-28,1633.3948131414097
2011-10-31,1641.3309477737705
2011-11-29,1598.021434705021
2011-11-30,1559.756993883353
2011-12-29,1660.9201104605525
2011-12-30,1655.7082424463006
2012-01-30,1786.7653900268838
2012-01-31,1815.3710073540585
2012-02-28,1875.8459768863408
2012-02-29,1891.3556693147482
2012-03-29,1758.6010350626825
2012-03-30,1769.3641219878255
2012-04-27,1812.5364929497964
2012-04-30,1844.7816262088013
2012-05-30,1770.5971357012202
2012-05-31,1770.351320198526
2012-06-28,1754.6279618667827
2012-06-29,1757.554770575197
2012-07-30,1819.3766514599515
2012-07-31,1833.9208570461199
2012-08-30,1756.8245791339189
2012-08-31,1734.0818845055815
2012-09-27,1797.2785792149514
2012-09-28,1809.425365138264
2012-10-30,1870.6920735985505
2012-10-31,1895.9741592385978
2012-11-29,1909.1168324809905
2012-11-30,1921.4090388476557
2012-12-28,1984.0594529847594
2012-12-31,1996.0170054450602
2013-01-30,2031.8822508528037
2013-01-31,2020.2251755126315
2013-02-27,1966.4038436256587
2013-02-28,2018.485409211592
2013-03-28,1960.9198357991986
2013-03-29,1960.6821745589336
2013-04-29,1923.2279312773096
2013-04-30,1930.9210338675773
2013-05-30,1950.7569014188107
2013-05-31,1955.1201031132564
2013-06-27,1764.0778260883158
2013-06-28,1806.6487790250012
2013-07-30,1847.1844093916711
2013-07-31,1837.2268735790549
2013-08-29,1885.7304116600983
2013-08-30,1897.213334222646
2013-09-27,1970.650942915216
2013-09-30,1943.6664043802894
2013-10-30,1960.4159573842703
2013-10-31,1983.419658526021
2013-11-28,2061.156773855448
2013-11-29,2075.495304327178
2013-12-30,1968.9132442996433
2013-12-31,1983.5410035076868
2014-01-30,1884.214994750577
2014-01-31,1895.160573752357
2014-02-27,1912.3787196369265
2014-02-28,1894.344039341355
2014-03-28,1853.5497588081184
2014-03-31,1863.3683070287316
2014-04-29,1834.7041478619553
2014-04-30,1809.1872212823223
2014-05-29,1922.9555952297853
2014-05-30,1921.6031201006385
2014-06-27,1978.0034521303712
2014-06-30,1976.85996058398
2014-07-30,2188.599378793797
2014-07-31,2190.2158831025336
2014-08-28,2221.56993603859
2014-08-29,2230.83083514944
2014-09-29,2203.472259586302
2014-09-30,2186.4496389584974
2014-10-30,2249.829337320294
2014-10-31,2297.80839066869
2014-11-27,2339.0673558074386
2014-11-28,2351.662114682652
2014-12-30,2428.849967584205
2014-12-31,2465.911920598913
2015-01-29,2697.248273226716
2015-01-30,2695.283809474199
2015-02-26,2808.5408174634726
2015-02-27,2797.5481415733025
2015-03-30,2974.4249889068024
2015-03-31,3015.82788184126
2015-04-29,3443.5263595721126
2015-04-30,3393.164198225689
2015-05-28,3389.932848108339
2015-05-29,3359.5775564882388
2015-06-29,3043.6710625336405
2015-06-30,3107.7252588588863
2015-07-30,2809.502157510187
2015-07-31,2787.904624614376
2015-08-28,2435.4825929423396
2015-08-31,2420.914184084489
2015-09-29,2325.783694355439
2015-09-30,2382.6679813982933
2015-10-29,2659.824386969295
2015-10-30,2630.89711266147
2015-11-27,2661.5537202704613
2015-11-30,2663.3539571188967
2015-12-30,2539.5514224828603
2015-12-31,2554.3120092595327
2016-01-28,2139.493489293493
2016-01-29,2219.073993527421
2016-02-26,2175.858199524328
2016-02-29,2161.872438583642
2016-03-30,2308.687234225713
2016-03-31,2307.7325994237585
2016-04-28,2338.3254700632315
2016-04-29,2291.9283318887146
2016-05-30,2322.0715294693637
2016-05-31,2343.9275382083383
2016-06-29,2330.665087379432
2016-06-30,2372.519797383346
2016-07-28,2497.166935021692
2016-07-29,2437.9675928886027
2016-08-30,2644.135511938489
2016-08-31,2628.770175819625
2016-09-29,2710.236391256254
2016-09-30,2665.296141986375
2016-10-28,2699.5610673994206
