Date,CHINA A RMB
2008-11-25,1000.0
2008-11-26,1013.5951010336836
2008-11-27,1027.4480577670358
2008-11-28,1019.3665035939806
2008-12-01,1029.6109880769568
2008-12-02,1014.7646849367734
2008-12-03,1061.8832450871805
2008-12-04,1077.5596239389067
2008-12-05,1093.197831533335
2008-12-08,1112.7275289366623
2008-12-09,1089.1656647634688
2008-12-10,1108.838635394148
2008-12-11,1065.671713568424
2008-12-12,1013.5491378110162
2008-12-15,995.6353298246529
2008-12-16,995.1281894758171
2008-12-17,958.7560675489941
2008-12-18,970.3198184540707
2008-12-19,1007.7470857716273
2008-12-22,988.3718785541212
2008-12-23,941.9993260215942
2008-12-24,924.9192186809261
2008-12-25,917.8449012530588
2008-12-26,910.9934952839703
2008-12-29,894.9296275867463
2008-12-30,893.0401600082201
2008-12-31,906.5542382491145
2009-01-01,906.5542382491145
2009-01-02,904.3747085389562
2009-01-05,954.2690425912976
2009-01-06,999.2516757669764
2009-01-07,972.0859511237641
2009-01-08,944.1205018764746
2009-01-09,970.850551699593
2009-01-12,978.3510950896537
2009-01-13,971.0986138172852
2009-01-14,1009.0200543876402
2009-01-15,1010.9096041454461
2009-01-16,1014.988407999966
2009-01-19,1039.458390312613
2009-01-20,1061.7890326256497
2009-01-21,1057.3376911390128
2009-01-22,1060.075832206617
2009-01-23,1067.716038284983
2009-01-26,1039.9102979390116
2009-01-27,1036.8311876159946
2009-01-28,1032.7149113493701
2009-01-29,1044.1241628261073
2009-01-30,1065.6747551840865
2009-02-02,1074.3909422627667
2009-02-03,1089.593423346099
2009-02-04,1126.2681188839822
2009-02-05,1126.6103777327166
2009-02-06,1167.4265252899675
2009-02-09,1174.0671828597058
2009-02-10,1188.7269699006793
2009-02-11,1203.8841684323224
2009-02-12,1204.138723864581
2009-02-13,1232.663335022372
2009-02-16,1278.647107208774
2009-02-17,1261.5418150618834
2009-02-18,1204.013305685352
2009-02-19,1199.1774650610178
2009-02-20,1223.0057315779468
2009-02-23,1236.6229138746437
2009-02-24,1175.5466078839504
2009-02-25,1181.9699407567284
2009-02-26,1131.689246197855
2009-02-27,1121.6288250405923
2009-03-02,1136.6599625808003
2009-03-03,1123.7112109994005
2009-03-04,1195.8366861775555
2009-03-05,1206.5578552695385
2009-03-06,1182.7305094572405
2009-03-09,1144.6546554602567
2009-03-10,1154.6639758517056
2009-03-11,1142.124933135648
2009-03-12,1136.9213971628703
2009-03-13,1126.74420508013
2009-03-16,1133.3714685199882
2009-03-17,1171.731728636448
2009-03-18,1161.859717573024
2009-03-19,1131.0819814532058
2009-03-20,1142.9440070735566
2009-03-23,1168.305932230295
2009-03-24,1179.6473896672164
2009-03-25,1153.0920424956607
2009-03-26,1188.7132819918386
2009-03-27,1219.2529183768029
2009-03-30,1222.5532076894203
2009-03-31,1221.9613744504593
2009-04-01,1244.9235770582352
2009-04-02,1240.2898574457597
2009-04-03,1241.6360769815308
2009-04-06,1243.3495088347427
2009-04-07,1260.2927355955621
2009-04-08,1217.3524310802857
2009-04-09,1237.9607236519169
2009-04-10,1271.1114601487354
