Date,CHINA A 50 CONNECT RMB
2012-11-30,1000.0
2012-12-03,984.2375452005094
2012-12-04,989.8661808559556
2012-12-05,1022.424123451023
2012-12-06,1025.7589689585238
2012-12-07,1045.0554002623526
2012-12-10,1050.5946602054048
2012-12-11,1039.6581672349103
2012-12-12,1041.952779035095
2012-12-13,1030.8511220900123
2012-12-14,1074.5520057518254
2012-12-17,1073.8646952961096
2012-12-18,1073.9061004168752
2012-12-19,1073.3379220167312
2012-12-20,1080.353270845239
2012-12-21,1079.5855100766134
2012-12-24,1079.6229425831445
2012-12-25,1106.3089489202607
2012-12-26,1104.3274141328916
2012-12-27,1099.8495149077016
2012-12-28,1115.9583940689236
2012-12-31,1136.5517105069632
2013-01-01,1136.5517105069632
2013-01-02,1131.7872843629898
2013-01-03,1144.2325799949451
2013-01-04,1152.823136394256
2013-01-07,1150.9207305949103
2013-01-08,1147.1055266925057
2013-01-09,1147.4632248695777
2013-01-10,1132.6957027147198
2013-01-11,1105.588534409744
2013-01-14,1139.9630611556681
2013-01-15,1147.060222574453
2013-01-16,1138.4717792654797
2013-01-17,1125.0165779389085
2013-01-18,1147.3738573738012
2013-01-21,1148.5085584735573
2013-01-22,1147.3021137901244
2013-01-23,1151.9501756107754
2013-01-24,1137.610034533265
2013-01-25,1124.8207676555542
2013-01-28,1156.3822751141477
2013-01-29,1162.2832172623087
2013-01-30,1158.3927737834804
2013-01-31,1158.3975709008334
2013-02-01,1167.9422598573285
2013-02-04,1176.8840518895438
2013-02-05,1192.601893345676
2013-02-06,1190.7265798426968
2013-02-07,1194.7304215661604
2013-02-08,1200.6293305361828
2013-02-11,1200.7639402974357
2013-02-12,1193.139051375052
2013-02-13,1195.6254052200638
2013-02-14,1204.1390216421976
2013-02-15,1203.3272729290572
2013-02-18,1190.438294966905
2013-02-19,1169.162185653993
2013-02-20,1172.0527462399407
2013-02-21,1145.230794479168
2013-02-22,1146.14678044939
2013-02-25,1145.212553811463
2013-02-26,1141.2652747009663
2013-02-27,1149.0210614696393
2013-02-28,1187.1507125060418
2013-03-01,1192.346082915618
2013-03-04,1140.3229156224945
2013-03-05,1169.924904069045
2013-03-06,1181.9473547051557
2013-03-07,1160.694515639214
2013-03-08,1168.0347940747786
2013-03-11,1157.0370413856303
2013-03-12,1143.5530208667944
2013-03-13,1137.925698933256
2013-03-14,1136.6168764906972
2013-03-15,1133.725606602529
2013-03-18,1123.6632440829535
2013-03-19,1137.2907750633908
2013-03-20,1169.0086334429166
2013-03-21,1170.1390985754635
2013-03-22,1168.4681845703847
2013-03-25,1175.6282024770958
2013-03-26,1160.4974570802262
2013-03-27,1168.913086391882
2013-03-28,1132.463500961715
2013-03-29,1132.3502160138028
2013-04-01,1127.2956109621225
2013-04-02,1127.3010063881807
2013-04-03,1127.0462128719967
2013-04-04,1126.5201293744683
2013-04-05,1111.9866182598232
2013-04-08,1107.5340850192715
2013-04-09,1109.4852574175004
2013-04-10,1107.000690049891
2013-04-11,1100.770886285975
2013-04-12,1097.859373899668
2013-04-15,1090.3359957347573
2013-04-16,1094.6520174510767
2013-04-17,1102.4672749256504
2013-04-18,1099.4962829530893
2013-04-19,1128.2058124253708
2013-04-22,1128.236808264823
2013-04-23,1098.4843188914062
2013-04-24,1116.0663033201492
2013-04-25,1106.9058980742175
2013-04-26,1099.145463538871
2013-04-29,1093.0204544672417
2013-04-30,1086.056428513415
2013-05-01,1085.3155425999291
2013-05-02,1097.0650290670758
2013-05-03,1110.6772777151261
2013-05-06,1127.1859887414053
2013-05-07,1131.23476226547
2013-05-08,1133.886685284302
2013-05-09,1133.7573538028962
2013-05-10,1147.171780476184
2013-05-13,1137.6295722901716
2013-05-14,1120.853280636507
2013-05-15,1134.5012322643292
2013-05-16,1143.8132580706565
2013-05-17,1169.28453514722
2013-05-20,1174.901780133982
2013-05-21,1172.3654411116
2013-05-22,1172.6329435207501
2013-05-23,1151.5941900215844
2013-05-24,1153.6638003737091
2013-05-27,1151.319928436929
2013-05-28,1179.7558463256794
2013-05-29,1166.0748378405178
2013-05-30,1153.3808857948038
2013-05-31,1153.6816473608794
2013-06-03,1146.6351787065182
2013-06-04,1130.7875002631467
2013-06-05,1126.9502869219593
2013-06-06,1105.5689073690667
2013-06-07,1088.9399466441012
2013-06-10,1091.085722430432
2013-06-11,1084.5101935747741
2013-06-12,1079.4684185962087
2013-06-13,1050.6249409661134
2013-06-14,1052.427131376745
2013-06-17,1046.5125462506057
2013-06-18,1045.4021881659298
2013-06-19,1037.6547771876833
2013-06-20,1024.3867473564146
2013-06-21,1026.3689247456746
2013-06-24,972.3158848826748
2013-06-25,974.5397769358851
2013-06-26,978.7463993757666
2013-06-27,980.7213087377506
2013-06-28,1002.1981562481823
2013-07-01,1002.1909747777478
2013-07-02,1003.236827676504
2013-07-03,999.9230439900689
2013-07-04,1013.9082855576273
2013-07-05,1022.5944643885231
2013-07-08,997.6061554339129
2013-07-09,1006.512565038205
2013-07-10,1024.1373631171386
2013-07-11,1054.7226599236722
2013-07-12,1033.0296608066658
2013-07-15,1042.6568603983242
2013-07-16,1038.4732226272383
2013-07-17,1029.5635099302929
2013-07-18,1012.5060604576473
2013-07-19,986.7318881496003
2013-07-22,986.2462553125952
2013-07-23,1014.0630984149076
2013-07-24,1007.2500097761122
2013-07-25,1005.7902574068838
2013-07-26,999.2819351628305
2013-07-29,980.3868352489089
2013-07-30,987.3601407324188
2013-07-31,985.7844672434535
2013-08-01,1008.3348384605536
2013-08-02,1003.902118768915
2013-08-05,1018.2344708187092
2013-08-06,1019.2229371729131
2013-08-07,1011.1875937333293
2013-08-08,1002.28369469274
2013-08-09,1007.4317747850034
2013-08-12,1040.5371772976298
2013-08-13,1048.8202542031074
2013-08-14,1043.865376107469
2013-08-15,1039.2441200327962
2013-08-16,1028.127372001596
2013-08-19,1036.9766425589653
2013-08-20,1025.1760155434133
2013-08-21,1025.2616727451566
2013-08-22,1027.333467575452
2013-08-23,1014.6559633914048
2013-08-26,1035.949692584975
2013-08-27,1034.641501293041
2013-08-28,1034.4422010547125
2013-08-29,1037.3440597829176
2013-08-30,1039.7221841494802
2013-09-02,1043.033559044608
2013-09-03,1059.6678837003167
2013-09-04,1056.2474697300925
2013-09-05,1056.8412466976433
