Date,EM ASIA WITH PARTIAL A SHARES
2008-11-28,1096.1058023401138
2008-12-31,1111.711511511308
2009-01-30,1130.1248434749984
2009-02-27,1068.182657534832
2009-03-31,1183.9951348598306
2009-04-30,1382.7819212259487
2009-05-29,1488.6661933164858
2009-06-30,1500.1829464333869
2009-07-31,1673.2297069360407
2009-08-31,1603.3126684631322
2009-09-30,1718.3942189570766
2009-10-30,1687.6523961381308
2009-11-30,1710.316006074859
2009-12-31,1870.8813477214671
2010-01-29,1815.2534169666308
2010-02-26,1850.777464482824
2010-03-31,2010.5020739813986
2010-04-30,2093.11190126198
2010-05-31,2071.936975797705
2010-06-30,2103.0741373310366
2010-07-30,2089.5005672591865
2010-08-31,2110.527117546466
2010-09-30,2184.5603975288996
2010-10-29,2204.091348204363
2010-11-30,2308.892923726123
2010-12-31,2379.8192135574986
2011-01-31,2295.561238252912
2011-02-28,2191.7839494130785
2011-03-31,2283.7380315753917
2011-04-29,2267.2054835750387
2011-05-31,2304.0816832045357
2011-06-30,2235.8987455086376
2011-07-29,2271.9236132642022
2011-08-31,2031.7371255455055
2011-09-30,1904.7790592998047
2011-10-31,2051.923163525655
2011-11-30,1946.8595714821272
2011-12-30,2031.9720482966748
2012-01-31,2227.669671749131
2012-02-29,2304.9310092389883
2012-03-30,2241.716032855307
2012-04-30,2253.3147225978846
2012-05-31,2184.2669039549723
2012-06-29,2180.8876483351974
2012-07-31,2291.293742569855
2012-08-31,2221.68063749547
2012-09-28,2335.023636408455
2012-10-31,2308.8527893242717
2012-11-30,2363.1884599412037
2012-12-31,2416.4644970656527
2013-01-31,2373.9504420030876
2013-02-28,2462.953720410181
2013-03-29,2447.8096334195
2013-04-30,2419.0715423067877
2013-05-31,2442.44342847097
2013-06-28,2289.4279136803452
2013-07-31,2270.5701345392085
2013-08-30,2261.5226138691273
2013-09-30,2317.708188478282
2013-10-31,2417.5093760210016
2013-11-29,2419.6904932359434
2013-12-31,2360.766874593284
2014-01-31,2297.5776033249663
2014-02-28,2314.5719422706093
2014-03-31,2349.2661489192956
2014-04-30,2337.944318671872
2014-05-30,2472.397372622469
2014-06-30,2533.09358210952
2014-07-31,2682.8123987331282
2014-08-29,2754.497809035763
2014-09-30,2708.9791667072204
2014-10-31,2772.0961219762753
2014-11-28,2794.231850171961
2014-12-31,2832.6008160460815
2015-01-30,3106.550912780733
2015-02-27,3200.531003466651
2015-03-31,3366.1128045067267
2015-04-30,3469.9679121551417
2015-05-29,3455.7945158668904
2015-06-30,3257.057532024365
2015-07-31,3041.122656638296
2015-08-31,2717.4034682569495
2015-09-30,2685.493289946923
2015-10-30,2927.447944703005
2015-11-30,2963.048393010591
2015-12-31,2857.778830351265
2016-01-29,2639.905917839183
2016-02-29,2596.107969040422
2016-03-31,2759.537372535217
2016-04-29,2712.652023785599
2016-05-31,2759.6286414227384
2016-06-30,2841.6439787610793
2016-07-29,2957.814848118714
2016-08-31,3092.4671147539534
2016-09-30,3104.1375360165184
2016-10-31,3137.287396121156
2018-03-30,3836.310214320016
2018-04-30,3907.332410779382
2018-05-01,3940.216503134204
2018-05-31,3994.5999248545745
