Date,TRINIDAD AND TOBAGO SMALL CAP
2014-05-30,1000.0
2014-06-02,1002.8279312595172
2014-06-03,1001.3317953897555
2014-06-04,1001.9857212742014
2014-06-05,985.8174593143723
2014-06-06,983.8179383563288
2014-06-09,983.8943989095544
2014-06-10,984.0473556758054
2014-06-11,986.7318184543441
2014-06-12,986.9625969259558
2014-06-13,983.4358137783917
2014-06-16,983.5122149447823
2014-06-17,983.542778735296
2014-06-18,983.6650528958226
2014-06-19,983.7414896860082
2014-06-20,983.7414896860082
2014-06-23,983.7414896860082
2014-06-24,982.9699277333132
2014-06-25,983.7414896860081
2014-06-26,983.7414896860081
2014-06-27,983.7414896860081
2014-06-30,1003.0305385033807
2014-07-01,1008.7527352297598
2014-07-02,1011.3847383390665
2014-07-03,1012.074643249177
2014-07-04,1012.0508377566783
2014-07-07,1017.2269768468175
2014-07-08,1017.2269768468175
2014-07-09,1017.2269768468175
2014-07-10,1015.557970676286
2014-07-11,1013.8403689732337
2014-07-14,1013.593193905102
2014-07-15,1011.2470606413239
2014-07-16,1011.2470606413241
2014-07-17,993.7102513182397
2014-07-18,993.5464786351625
2014-07-21,992.7128553772332
2014-07-22,992.712855377233
2014-07-23,992.7128553772329
2014-07-24,992.7128553772328
2014-07-25,996.0557699721663
2014-07-28,996.0557699721666
2014-07-29,994.7878164378122
2014-07-30,994.7878164378121
2014-07-31,994.787816437812
2014-08-01,994.2331252763827
2014-08-04,995.0129159628743
2014-08-05,996.0533071438037
2014-08-06,1000.4578732885185
2014-08-07,1000.4578732885187
2014-08-08,999.6448266193113
2014-08-11,998.5541390878162
2014-08-12,997.4605444980494
2014-08-13,997.4605444980494
2014-08-14,998.286419648247
2014-08-15,996.8243738843983
2014-08-18,998.2942917003836
2014-08-19,998.2942917003835
2014-08-20,1040.2967584042044
2014-08-21,1040.7726752370693
2014-08-22,1040.7726752370693
2014-08-25,1040.7726752370693
2014-08-26,1038.7816518077755
2014-08-27,1038.7816518077755
2014-08-28,1041.0107969833289
2014-08-29,1039.7475339166856
2014-09-01,1039.7475339166858
2014-09-02,1039.747533916686
2014-09-03,1039.7475339166863
2014-09-04,1039.8868344713176
2014-09-05,1041.698284618405
2014-09-08,1039.2971112328273
2014-09-09,1038.481976243625
2014-09-10,1039.2971112328273
2014-09-11,1039.297111232827
2014-09-12,1039.2725539462442
2014-09-15,1039.3052972529217
2014-09-16,1039.3052972529217
2014-09-17,1039.338042622885
2014-09-18,1039.387164546916
2014-09-19,1039.4690447394912
2014-09-22,1035.3926955444342
2014-09-23,1035.4253227800662
2014-09-24,1035.5232168259
2014-09-25,1035.5558522881383
2014-09-26,1033.479447787777
2014-09-29,1037.1812650466204
2014-09-30,1038.2013496929937
2014-10-01,1037.254644167808
2014-10-02,1037.1241995742337
2014-10-03,1038.1033345073918
2014-10-06,1038.1441719188606
2014-10-07,1037.6951370292713
2014-10-08,1038.642647170843
2014-10-09,1032.249411341298
2014-10-10,1032.2494113412981
2014-10-13,1029.2191773288398
2014-10-14,1024.2852459519174
2014-10-15,1020.2044282389616
2014-10-16,1018.2450447095797
2014-10-17,1019.8742367811151
2014-10-20,1023.8068412798721
2014-10-21,1023.8068412798721
2014-10-22,1021.7320044463289
2014-10-23,1022.5221946072854
2014-10-24,1024.9723276614563
2014-10-27,1025.2078330649554
2014-10-28,1022.7532253241772
2014-10-29,1022.3894863283691
2014-10-30,1022.4702948555844
2014-10-31,1019.4888620468796
2014-11-03,1019.4888620468796
2014-11-04,1023.5668174950671
2014-11-05,1039.8786392878174
2014-11-06,1039.8786392878176
2014-11-07,1039.9605969359332
2014-11-10,1042.3100663477824
2014-11-11,1042.3100663477824
2014-11-12,1044.5957435597043
2014-11-13,1040.4646377392903
2014-11-14,1040.694230377455
2014-11-17,1040.973157695302
2014-11-18,1041.7943994177417
2014-11-19,1043.0781271137066
2014-11-20,1041.4986031657777
2014-11-21,1042.0492475249187
2014-11-24,1041.8190566897456
2014-11-25,1041.8190566897456
2014-11-26,1040.2761195562928
2014-11-27,1041.3836166474405
2014-11-28,1042.3618121243326
2014-12-01,1041.9916902802395
2014-12-02,1039.6127512761202
2014-12-03,1038.6887237392957
2014-12-04,1041.124189526769
2014-12-05,1038.7837202861076
2014-12-08,1041.1274882657165
2014-12-09,1040.071337233701
2014-12-10,1038.756197472029
2014-12-11,1039.8587289928028
2014-12-12,1041.1488021971106
2014-12-15,1044.188832148434
2014-12-16,1049.8903312319278
2014-12-17,1049.8903312319278
2014-12-18,1079.304798150148
2014-12-19,1080.2903947980428
2014-12-22,1081.2607537391214
2014-12-23,1078.295578960276
2014-12-24,1079.588767985074
2014-12-25,1079.588767985074
2014-12-26,1079.1486273629093
2014-12-29,1095.3764262706222
2014-12-30,1097.2604379361887
2014-12-31,1095.848971241639
2015-01-01,1095.848971241639
2015-01-02,1095.1617677980985
2015-01-05,1098.6237087484394
2015-01-06,1097.9847933225851
2015-01-07,1140.5691152463526
2015-01-08,1141.395757848274
2015-01-09,1139.304516829656
2015-01-12,1198.4599860052147
2015-01-13,1198.4599860052144
2015-01-14,1217.810561195522
2015-01-15,1217.7626421831005
2015-01-16,1257.4079556200381
2015-01-19,1265.632403480741
2015-01-20,1265.6324034807412
2015-01-21,1266.5217657109886
2015-01-22,1263.7877199227873
2015-01-23,1266.9218863187289
2015-01-26,1302.4719807329816
2015-01-27,1301.1517003187544
2015-01-28,1305.6351401761879
2015-01-29,1305.7946345872172
2015-01-30,1305.4750921679545
2015-02-02,1302.8140929417716
2015-02-03,1298.755006779299
2015-02-04,1297.6079319369421
2015-02-05,1299.3703457802844
2015-02-06,1295.5034157029324
2015-02-09,1299.5858522072363
2015-02-10,1299.5858522072363
2015-02-11,1299.0010724294143
2015-02-12,1297.4237695849781
2015-02-13,1294.4129846599249
2015-02-16,1297.4749205500866
2015-02-17,1297.4749205500866
2015-02-18,1297.4749205500866
2015-02-19,1297.4749205500866
2015-02-20,1297.4646900344069
2015-02-23,1297.1885270823536
2015-02-24,1297.1885270823536
2015-02-25,1296.074841280117
2015-02-26,1294.3620748294916
2015-02-27,1293.3040575399557
2015-03-02,1228.154355423741
2015-03-03,1227.682410247492
2015-03-04,1221.9036715323386
2015-03-05,1224.448099433305
2015-03-06,1222.9721982948045
2015-03-09,1222.6543330195045
2015-03-10,1226.5184176331275
2015-03-11,1218.1274971494283
2015-03-12,1212.6218043968247
2015-03-13,1212.8762163158835
2015-03-16,1216.3514789021006
2015-03-17,1184.492709474846
2015-03-18,1181.526954458445
2015-03-19,1162.56545851738
2015-03-20,1142.301029426984
2015-03-23,1141.887197876008
2015-03-24,1143.715716237217
2015-03-25,1142.3136547174631
2015-03-26,1140.2639198336597
2015-03-27,1139.3403533129203
2015-03-30,1136.694528684749
2015-03-31,1136.6945286847492
2015-04-01,1136.6945286847495
2015-04-02,1142.6559938622395
2015-04-03,1142.6559938622395
2015-04-06,1137.078125174574
2015-04-07,1137.0781251745739
2015-04-08,1137.0781251745736
2015-04-09,1138.454062434147
2015-04-10,1139.45683745493
2015-04-13,1113.5388039328266
2015-04-14,1115.0570704703482
2015-04-15,1113.1182832364773
2015-04-16,1112.7155821666472
2015-04-17,1112.715582166647
2015-04-20,1115.8870354507649
2015-04-21,1116.856697455849
2015-04-22,1115.0333658073343
2015-04-23,1114.4356953370248
2015-04-24,1108.1480104054053
2015-04-27,1110.8344404313416
2015-04-28,1110.8344404313418
2015-04-29,1108.9691843350715
2015-04-30,1106.6539423884906
2015-05-01,1107.3426316747855
2015-05-04,1107.5432972845972
2015-05-05,1109.2562724141505
2015-05-06,1109.2212607745257
2015-05-07,1107.5607499051027
2015-05-08,1106.6887921426203
2015-05-11,1111.2116738571863
2015-05-12,1107.1769192681045
2015-05-13,1106.0618321999468
2015-05-14,1104.9142487105862
2015-05-15,1105.4008113515636
2015-05-18,1109.6240281168548
2015-05-19,1108.2942569771644
2015-05-20,1106.0618321999468
2015-05-21,1110.1848868895565
2015-05-22,1106.8020690037213
2015-05-25,1106.8020690037213
2015-05-26,1110.6585526757235
2015-05-27,1108.958743909401
2015-05-28,1108.2767812324041
2015-05-29,1106.6713669911956
2023-02-28,1000.0
2023-03-01,1021.4086350055644
2023-03-02,1023.4804577946225
2023-03-03,1001.0476572600419
2023-03-06,1004.2262263984036
2023-03-07,989.190707448895
2023-03-08,1021.2496113974365
2023-03-09,1019.7677754063949
2023-03-10,1000.5600513474211
2023-03-13,999.5039148842901
2023-03-14,1007.1324630280028
2023-03-15,1003.2659307012026
2023-03-16,1003.392314701365
2023-03-17,1003.5261677656093
2023-03-20,1004.9487006104245
2023-03-21,1001.8338151677217
2023-03-22,1000.2494785105692
2023-03-23,998.8838746323033
2023-03-24,1003.3209445440757
2023-03-27,1003.2321315012729
2023-03-28,1016.3853537259616
2023-03-29,1016.3853537259614
2023-03-30,1021.244332469898
2023-03-31,1013.6350609730636
2023-04-03,1013.2670617585262
2023-04-04,1005.4954123051856
2023-04-05,1004.122905622118
2023-04-06,1002.108251575493
2023-04-07,1002.1082515754937
2023-04-10,1002.0711567885035
2023-04-11,1002.0711567885039
2023-04-12,1039.0123002408884
2023-04-13,1000.8115659996039
2023-04-14,1001.7374272459863
2023-04-17,1002.8804462790386
2023-04-18,1002.7087340897602
2023-04-19,1002.46376360503
2023-04-20,1003.0736809376862
2023-04-21,1000.9299807144263
2023-04-24,1001.3076146981397
2023-04-25,1001.7522549497876
2023-04-26,1001.7522549497876
2023-04-27,999.4665679563043
2023-04-28,1000.870769854554
2023-05-01,1005.465535307689
2023-05-02,1001.834300825989
2023-05-03,1004.0050904953359
2023-05-04,1004.0348926589648
2023-05-05,986.1284257776911
2023-05-08,930.3553290347958
2023-05-09,935.9934113721149
2023-05-10,933.079126971328
2023-05-11,930.8064988472695
2023-05-12,847.4466199597474
2023-05-15,877.0998058851143
2023-05-16,876.0339367571445
2023-05-17,877.82839163166
2023-05-18,844.9610607568821
2023-05-19,836.0082120824151
2023-05-22,874.6584931631485
2023-05-23,828.5744595278522
2023-05-24,827.4676307628278
2023-05-25,818.1746836855715
2023-05-26,829.1974970512631
2023-05-29,823.6755572942676
2023-05-30,828.205091587968
2023-05-31,827.3998362728607
2023-09-01,1008.4033613445378
2023-09-04,999.3537364433218
2023-09-05,975.7690721938261
2023-09-06,979.1562389840702
2023-09-07,975.3323754329109
2023-09-08,997.0725127475391
2023-09-11,997.5234861011214
2023-09-12,1003.2253116947284
2023-09-13,1002.0734565726929
2023-09-14,1004.256137910356
2023-09-15,1009.040888758216
2023-09-18,1007.4956256825984
2023-09-19,1006.343740501486
2023-09-20,1007.6079632385182
