Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-04-24;22.035;22.035;22.035;22.035;11017.5
2019-04-30;22.03;22.03;22.02;22.02;11012.5
2019-06-25;22.02;22.02;22.02;22.02;220420.2
2019-09-12;22.04;22.04;22.04;22.04;329740.4
2019-09-18;21.84;21.84;21.84;21.84;633360.0
2019-10-02;21.855;21.855;21.855;21.855;5026.7
2020-01-20;21.465;21.465;21.465;21.465;3649.05
2020-01-31;21.485;21.525;21.485;21.525;3441.2
2020-02-03;21.525;21.53;21.525;21.525;3164.41
2020-02-04;21.525;21.525;21.525;21.525;1528.275
2020-02-12;21.525;21.525;21.5;21.5;7741.5
2020-02-14;21.5;21.505;21.5;21.505;11827.5
2020-02-18;21.5;21.5;21.5;21.5;4945.0
2020-02-20;21.47;21.505;21.47;21.505;4664.94
2020-02-26;21.5;21.535;21.5;21.535;17224.5
2020-02-27;21.55;21.7;21.55;21.7;11708.1
2020-03-02;21.6;21.6;21.6;21.6;388.8
2020-03-05;21.56;21.56;21.56;21.56;1530.76
2020-03-09;21.58;21.58;21.445;21.445;38814.57
2020-03-10;21.62;21.76;21.62;21.76;4606.88
2020-03-12;21.775;21.775;21.775;21.775;152.425
2020-03-25;21.445;21.445;21.445;21.445;2144.5
2020-04-09;21.22;21.22;21.22;21.22;275.86
2020-04-15;21.555;21.555;21.555;21.555;107.775
2020-04-21;21.26;21.26;21.26;21.26;106.3
2020-05-27;21.4;21.4;21.4;21.4;428.0
2020-06-01;21.495;21.495;21.495;21.495;494.385
2020-06-17;21.325;21.325;21.325;21.325;426.5
2020-06-22;21.315;21.315;21.315;21.315;19993.47
2020-07-02;21.39;21.39;21.39;21.39;213.9
2020-07-21;21.355;21.355;21.355;21.355;53387.5
2020-07-22;21.35;21.35;21.35;21.35;597.8
2020-07-27;21.345;21.345;21.345;21.345;5016.075
2020-07-31;21.265;21.265;21.265;21.265;489.095
2020-08-03;21.24;21.24;21.24;21.24;594.72
2020-08-31;21.3;21.3;21.3;21.3;21300.0
2020-09-01;21.3;21.3;21.3;21.3;19170.0
2020-09-04;21.37;21.37;21.37;21.37;1923.3
2020-09-17;21.26;21.26;21.26;21.26;42520.0
2020-09-30;21.28;21.28;21.28;21.28;2000.32
2020-10-01;21.26;21.26;21.26;21.26;3018.92
2020-10-02;21.28;21.28;21.28;21.28;105378.56
2020-10-27;21.3;21.3;21.3;21.3;10011.0
2020-10-29;21.33;21.33;21.33;21.33;170.64
2020-10-30;21.195;21.195;21.195;21.195;5002.02
2020-11-11;21.125;21.125;21.125;21.125;507.0
2021-01-11;21.0;21.0;21.0;21.0;21000.0
2021-01-25;21.02;21.08;21.02;21.08;631.2
2021-01-27;21.085;21.085;21.085;21.085;210.85
2021-02-03;21.01;21.01;21.01;21.01;210.1
2021-03-22;20.985;20.985;20.985;20.985;2098.5
2021-04-15;20.9;20.9;20.9;20.9;4598.0
2021-04-20;20.89;20.89;20.89;20.89;5222.5
2021-06-09;20.905;20.905;20.905;20.905;20.905
2021-08-19;20.9;20.9;20.9;20.9;4807.0
2021-08-27;20.89;20.89;20.89;20.89;5222.5
2021-09-23;20.745;20.745;20.745;20.745;1037.25
2021-11-10;20.725;20.725;20.725;20.725;538.85
2021-11-23;20.725;20.725;20.725;20.725;1968.875
2022-01-06;20.275;20.275;20.275;20.275;8110.0
2022-01-10;20.295;20.295;20.295;20.295;20.295
2022-01-27;20.25;20.25;20.25;20.25;20.25
2022-02-14;20.035;20.035;20.035;20.035;4007.0
2022-02-21;20.09;20.09;20.09;20.09;3013.5
2022-04-01;19.674;19.674;19.674;19.674;13870.17
2022-05-26;19.632;19.632;19.632;19.632;4908.0
2022-05-27;19.604;19.604;19.604;19.604;4901.0
2022-06-01;19.436;19.436;19.436;19.436;228975.516
2022-06-08;19.298;19.298;19.294;19.294;399427.2
2022-06-14;18.972;18.972;18.972;18.972;4743.0
2022-06-16;18.934;18.946;18.934;18.946;117885.258
2022-06-17;18.946;18.946;18.946;18.946;32871.31
2022-06-20;18.98;18.98;18.98;18.98;5694.0
2022-06-28;19.08;19.08;19.08;19.08;201294.0
2022-06-30;19.34;19.34;19.34;19.34;4448.2
2022-07-20;19.462;19.462;19.442;19.442;20424.1
2022-08-11;19.684;19.684;19.684;19.684;157.472
2022-08-19;19.426;19.426;19.426;19.426;7964.66
2022-08-26;19.332;19.332;19.332;19.332;10052.64
2022-08-30;19.2;19.2;19.2;19.2;5760.0
2022-09-06;19.15;19.15;19.15;19.15;383.0
2022-09-08;18.99;18.99;18.99;18.99;1139627.88
2022-09-09;19.0;19.0;19.0;19.0;5130.0
2022-09-26;18.59;18.59;18.59;18.59;5577.0
2022-09-30;18.67;18.67;18.67;18.67;3734.0
2022-10-12;18.6;18.6;18.6;18.6;10062.6
2022-10-18;18.58;18.58;18.58;18.58;575.98
2022-10-20;18.47;18.47;18.47;18.47;9235.0
2022-10-21;18.44;18.44;18.44;18.44;73.76
2022-10-25;18.59;18.59;18.59;18.59;3996.85
2022-11-03;18.55;18.55;18.55;18.55;3339.0
2022-11-10;18.56;18.56;18.56;18.56;278.4
2022-11-22;18.68;18.68;18.68;18.68;20548.0
2022-11-23;18.67;18.67;18.66;18.66;8958.6
2022-12-08;18.71;18.71;18.71;18.71;5613.0
2022-12-12;18.64;18.64;18.64;18.64;8406.64
2022-12-13;18.68;18.68;18.68;18.68;7472.0
2022-12-27;18.28;18.28;18.28;18.28;5666.8
2022-12-30;18.28;18.28;18.28;18.28;10054.0
2023-01-04;18.38;18.38;18.38;18.38;1727.72
2023-01-09;18.38;18.38;18.38;18.38;10109.0
2023-01-11;18.43;18.43;18.43;18.43;10044.35
2023-01-19;18.54;18.54;18.54;18.54;4968.72
2023-01-27;18.46;18.46;18.46;18.46;7605.52
2023-02-07;18.41;18.41;18.41;18.41;10309.6
2023-02-10;18.38;18.38;18.38;18.38;73.52
2023-02-15;18.31;18.31;18.31;18.31;91.55
2023-03-03;18.11;18.11;18.11;18.11;5976.3
2023-03-08;18.08;18.08;18.08;18.08;9944.0
2023-03-20;18.68;18.68;18.68;18.68;13076.0
2023-03-27;18.57;18.57;18.57;18.57;1857.0
2023-03-30;18.4;18.4;18.4;18.4;7544.0
2023-04-19;18.34;18.34;18.312;18.312;27482.0
2023-04-20;18.37;18.37;18.37;18.37;9038.04
2023-05-11;18.58;18.58;18.548;18.548;13722.62
2023-05-18;18.45;18.45;18.45;18.45;14760.0
2023-05-31;18.55;18.55;18.55;18.55;4155.2
2023-06-01;18.538;18.538;18.538;18.538;222.456
2023-06-15;18.288;18.288;18.288;18.288;1828.8
2023-07-06;18.236;18.236;18.236;18.236;6200.24
2023-07-14;18.274;18.274;18.274;18.274;9137.0
2023-07-17;18.27;18.27;18.27;18.27;420.21
2023-07-24;18.372;18.372;18.372;18.372;2572.08
2023-07-25;18.334;18.334;18.334;18.334;110.004
2023-08-01;18.36;18.36;18.36;18.36;9987.84
2023-08-11;18.354;18.354;18.354;18.354;6442.254
2023-09-01;18.436;18.436;18.436;18.436;18.436
2023-09-06;18.332;18.332;18.332;18.332;861.604
2023-09-07;18.326;18.326;18.326;18.326;7330.4
2023-09-25;18.24;18.24;18.24;18.24;328.32
2023-09-26;18.24;18.24;18.24;18.24;29184.0
2023-09-27;18.23;18.23;18.23;18.23;15787.18
2023-10-02;18.23;18.23;18.21;18.21;2442.8
2023-10-05;18.216;18.238;18.202;18.238;15553.082
2023-10-12;18.304;18.304;18.304;18.304;2562.56
2023-10-16;18.272;18.272;18.272;18.272;10049.6
2023-10-17;18.272;18.272;18.272;18.272;164.448
2023-10-19;18.212;18.212;18.212;18.212;4990.088
2023-10-20;18.26;18.26;18.248;18.248;45638.26
2023-10-23;18.244;18.244;18.244;18.244;8209.8
2023-10-24;18.288;18.288;18.288;18.288;9473.184
2023-10-27;18.326;18.326;18.326;18.326;36.652
2023-11-01;18.4;18.4;18.4;18.4;18.4
2023-11-03;18.44;18.44;18.44;18.44;6085.2
2023-11-06;18.39;18.39;18.39;18.39;349.41
2023-11-07;18.38;18.38;18.38;18.38;9557.6
2023-11-09;18.41;18.41;18.41;18.41;9407.51
