Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-05-10;18.404;18.404;18.404;18.404;993.8
2019-05-15;18.416;18.416;18.416;18.416;552.5
2019-05-23;18.352;18.354;18.352;18.354;164788.6
2019-06-07;18.54;18.54;18.54;18.54;519.1
2019-06-10;18.564;18.564;18.562;18.562;5513.5
2019-06-21;18.704;18.704;18.704;18.704;8977.9
2019-06-26;18.708;18.708;18.708;18.708;46770.0
2019-07-09;18.782;18.782;18.782;18.782;44137.7
2019-07-16;18.796;18.796;18.796;18.796;11653.5
2019-07-17;18.808;18.834;18.808;18.834;2937.4
2019-07-25;18.962;19.132;18.962;19.132;338901.3
2019-08-08;18.958;18.958;18.958;18.958;164707.1
2019-08-12;19.01;19.01;19.01;19.01;110067.9
2019-08-13;19.022;19.022;19.014;19.014;275045.8
2019-08-14;19.066;19.066;19.044;19.044;221372.8
2019-08-16;19.05;19.05;19.05;19.05;109842.3
2019-08-27;19.092;19.092;19.09;19.09;110722.2
2019-08-30;19.092;19.092;19.092;19.092;496.4
2019-10-01;18.668;18.668;18.668;18.668;28002.0
2019-10-24;18.742;18.742;18.742;18.742;562.3
2019-10-25;18.786;18.786;18.786;18.786;488.4
2019-12-11;18.752;18.752;18.752;18.752;165055.1
2019-12-12;18.752;18.752;18.752;18.752;164886.3
2019-12-23;18.8;18.8;18.8;18.8;4700.0
2020-01-31;18.928;18.928;18.928;18.928;9918.272
2020-02-07;18.874;18.874;18.874;18.874;9889.976
2020-02-20;18.93;18.93;18.93;18.93;18930.0
2020-02-24;18.93;18.93;18.93;18.93;4732.5
2020-02-27;19.0;19.0;19.0;19.0;494.0
2020-05-18;18.21;18.21;18.21;18.21;1821.0
2020-06-12;18.39;18.39;18.39;18.39;1839.0
2020-06-15;18.44;18.44;18.44;18.44;700.72
2020-06-17;18.484;18.504;18.462;18.462;568945.0
2020-06-18;18.45;18.468;18.42;18.42;921459.76
2020-07-07;18.444;18.444;18.444;18.444;35910.468
2020-07-16;18.5;18.5;18.5;18.5;143245.5
2020-07-22;18.668;18.668;18.668;18.668;10827.44
2020-07-23;18.674;18.674;18.674;18.674;13071.8
2020-07-30;18.648;18.648;18.64;18.64;191307.128
2020-08-14;18.64;18.64;18.64;18.64;9320.0
2020-09-15;18.738;18.738;18.738;18.738;168.642
2020-09-18;18.7;18.7;18.682;18.682;100131.238
2020-09-24;18.61;18.61;18.61;18.61;13027.0
2020-11-06;18.976;18.976;18.976;18.976;7988.896
2020-12-11;18.994;18.994;18.994;18.994;493.844
2021-01-25;18.914;18.914;18.914;18.914;75.656
2021-02-01;18.94;18.94;18.94;18.94;568.2
2021-02-08;18.932;18.932;18.928;18.928;50013.06
2021-02-10;18.904;18.942;18.904;18.942;329587.634
2021-02-16;18.91;18.91;18.91;18.91;3025.6
2021-02-17;18.84;18.844;18.84;18.844;431780.28
2021-02-18;18.83;18.84;18.81;18.82;175402.12
2021-02-19;18.82;18.82;18.82;18.82;21003.12
