Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-03-01;18.17;18.17;18.17;18.17;908.5
2022-03-07;17.096;17.096;17.096;17.096;119.672
2022-03-21;18.478;18.478;18.478;18.478;6892.294
2022-03-22;18.66;18.73;18.66;18.73;49104.6
2022-03-23;18.876;18.876;18.876;18.876;18536.232
2022-03-24;19.052;19.052;19.052;19.052;4286.7
2022-03-25;19.048;19.048;18.906;18.906;27052.096
2022-03-29;19.088;19.088;19.088;19.088;50048.736
2022-03-30;18.936;18.936;18.928;18.928;22846.256
2022-04-01;18.714;18.842;18.706;18.842;12502.488
2022-04-13;18.226;18.226;18.226;18.226;1822.6
2022-04-19;18.276;18.276;18.276;18.276;1992.084
2022-04-29;18.636;18.636;18.636;18.636;4025.376
2022-05-17;18.03;18.03;18.02;18.02;1802.1
2022-06-29;18.004;18.004;18.004;18.004;4915.092
2022-07-04;17.868;17.868;17.868;17.868;3913.092
2022-07-19;18.482;18.482;18.482;18.482;49993.81
2022-08-01;18.82;18.82;18.82;18.82;24183.7
2022-10-04;18.392;18.398;18.392;18.398;73014.87
2022-10-05;18.33;18.33;18.33;18.33;52002.21
2022-10-12;17.938;17.938;17.938;17.938;46871.994
2022-11-08;18.916;18.916;18.916;18.916;16929.82
2022-11-10;18.8;18.8;18.8;18.8;26696.0
2022-11-15;19.074;19.074;19.074;19.074;1010.922
2023-03-06;19.6;19.6;19.6;19.6;1038.8
2023-06-01;21.345;21.345;21.345;21.345;10736.535
2023-07-21;22.63;22.645;22.63;22.645;939722.585
2023-10-17;22.985;22.985;22.985;22.985;10504.145
2023-11-06;23.705;23.705;23.705;23.705;260.755
2023-11-14;23.8;23.8;23.8;23.8;261.8
2023-11-24;24.14;24.14;24.14;24.14;61460.44
2024-01-02;23.865;23.865;23.865;23.865;60975.075
2024-01-03;23.94;23.94;23.94;23.94;10054.8
2024-01-05;24.165;24.165;24.165;24.165;2416.5
2024-01-23;25.765;25.77;25.75;25.75;233821.25
2024-02-15;26.615;26.685;26.615;26.685;10129.8
2024-02-19;27.045;27.045;27.045;27.045;1081.8
2024-03-04;27.945;27.945;27.885;27.885;10410.43
2024-03-11;27.19;27.19;27.19;27.19;5954.61
2024-03-12;27.18;27.18;27.18;27.18;2446.2
2024-03-14;27.265;27.265;27.265;27.265;6843.515
2024-03-15;27.44;27.44;27.4;27.4;4362.88
2024-03-26;28.635;28.635;28.635;28.635;57270.0
2024-04-05;27.83;27.83;27.825;27.825;5565.445
2024-04-18;27.5;27.5;27.5;27.5;3575.0
2024-04-24;27.8;27.8;27.78;27.78;2501.0
2024-04-25;27.335;27.335;27.335;27.335;2733.5
2024-05-03;27.72;27.72;27.72;27.72;27.72
2024-05-30;28.295;28.295;28.295;28.295;1414.75
2024-06-11;28.855;28.855;28.855;28.855;1731.3
2024-07-01;29.61;29.61;29.61;29.61;2279.97
2024-07-02;29.79;29.81;29.79;29.795;26666.565
2024-07-25;27.79;27.79;27.79;27.79;1111.6
2024-08-08;25.56;25.56;25.56;25.56;104182.56
2024-08-13;26.365;26.52;26.34;26.52;1300185.12
2024-08-14;26.565;26.565;26.565;26.565;1328.25
2024-08-19;27.255;27.28;27.255;27.28;105451.595
2024-08-20;27.575;27.575;27.575;27.575;55094.85
2024-08-21;27.735;27.735;27.665;27.665;108288.79
2024-08-22;27.82;27.82;27.82;27.82;105855.1
2024-08-30;28.15;28.15;28.15;28.15;106012.9
2024-09-05;27.035;27.035;27.035;27.035;104355.1
2024-09-11;26.27;26.27;26.27;26.27;104213.09
2024-09-13;26.445;26.445;26.42;26.42;320904.98
2024-10-07;28.32;28.32;28.32;28.32;9090.72
2024-10-21;28.115;28.115;28.115;28.115;5482.425
