Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-05-11;13.5;13.5;13.5;13.5;13500.0
2021-05-18;13.36;13.36;13.36;13.36;2004.0
2021-05-20;13.344;13.344;13.344;13.344;1801.44
2021-08-02;13.91;13.91;13.91;13.91;4173.0
2021-08-05;13.89;13.89;13.89;13.89;13890.0
2021-08-09;13.972;13.972;13.972;13.972;2305.38
2021-08-10;14.008;14.008;14.008;14.008;1891.08
2021-08-27;14.11;14.11;14.11;14.11;352.75
2021-09-01;14.33;14.33;14.33;14.33;1433.0
2021-09-02;14.368;14.368;14.368;14.368;359.2
2021-09-08;14.992;14.992;14.992;14.992;2998.4
2021-09-23;15.16;15.16;15.16;15.16;379.0
2021-10-04;14.506;14.506;14.506;14.506;1885.78
2021-11-01;14.62;14.62;14.62;14.62;1754.4
2021-11-05;14.788;14.788;14.788;14.788;280.972
2022-02-01;13.244;13.244;13.244;13.244;10595.2
2022-02-08;12.93;12.93;12.93;12.93;10344.0
2022-03-23;13.0;13.14;13.0;13.14;14576.8
2022-04-05;13.056;13.056;12.94;12.94;8344.24
2022-05-24;12.076;12.076;12.076;12.076;3019.0
2022-07-13;11.994;11.994;11.994;11.994;11.994
2022-07-15;12.05;12.05;12.05;12.05;144.6
2022-07-19;12.0;12.0;12.0;12.0;96.0
2022-07-22;12.514;12.514;12.514;12.514;12.514
2022-07-26;12.422;12.422;12.422;12.422;186.33
2022-07-27;12.536;12.536;12.536;12.536;100.288
2022-08-01;12.978;12.978;12.976;12.978;31730.41
2022-08-02;12.806;12.806;12.806;12.806;12.806
2022-08-05;12.896;12.896;12.896;12.896;296.608
2022-08-09;12.644;12.644;12.644;12.644;214.948
2022-08-12;12.972;12.972;12.972;12.972;116.748
2022-08-16;13.25;13.25;13.25;13.25;13.25
2022-08-19;13.022;13.022;13.022;13.022;104.176
2022-08-23;12.998;12.998;12.998;12.998;519.92
2022-08-26;12.876;12.876;12.876;12.876;128.76
2022-08-30;12.49;12.49;12.49;12.49;874.3
2022-09-01;12.304;12.312;12.302;12.302;13916.962
2022-09-02;12.216;12.216;12.216;12.216;12.216
2022-09-06;12.14;12.14;12.14;12.14;218.52
2022-09-07;11.938;11.938;11.938;11.938;835.66
2022-09-09;12.26;12.26;12.26;12.26;183.9
2022-09-14;12.156;12.166;12.156;12.166;1179.312
2022-09-16;12.034;12.034;12.034;12.034;397.122
2022-09-21;11.92;11.92;11.92;11.92;47.68
2022-09-23;11.92;11.92;11.92;11.92;357.6
2022-09-28;11.83;11.83;11.83;11.83;556.01
2022-09-29;11.796;11.796;11.796;11.796;47.184
2022-10-03;11.794;11.794;11.794;11.794;353.82
2022-10-04;11.97;11.97;11.814;11.814;2985.48
2022-10-07;12.07;12.07;12.07;12.07;1593.24
2022-10-11;11.85;11.85;11.85;11.85;11.85
2022-10-12;11.742;11.742;11.742;11.742;1174.2
2022-10-14;11.616;11.616;11.616;11.616;185.856
2022-10-18;11.526;11.526;11.526;11.526;495.618
2022-10-20;11.526;11.526;11.526;11.526;1498.38
2022-10-21;11.36;11.36;11.36;11.36;48654.88
2022-11-29;12.41;12.41;12.41;12.41;310.25
2023-01-27;12.284;12.284;12.284;12.284;10441.4
2023-06-05;13.246;13.246;13.246;13.246;25458.812
2023-06-14;13.388;13.388;13.388;13.388;40164.0
2023-06-15;13.246;13.246;13.246;13.246;662.3
2023-06-27;12.532;12.54;12.532;12.54;312847.08
2023-08-01;12.66;12.66;12.66;12.66;6330.0
2023-08-08;12.408;12.408;12.408;12.408;53354.4
2023-09-05;12.662;12.662;12.662;12.662;6774.17
2023-09-06;12.698;12.698;12.698;12.698;5460.14
2023-09-07;12.668;12.668;12.668;12.668;81442.572
2023-09-11;12.568;12.568;12.568;12.568;25110.864
2023-11-14;12.284;12.284;12.284;12.284;76160.8
2023-12-06;12.76;12.824;12.76;12.824;138435.2
2024-02-22;13.68;13.68;13.68;13.68;3420.0
2024-02-26;13.8;13.8;13.8;13.8;3450.0
2024-03-20;14.198;14.2;14.198;14.2;7099.502
2024-04-25;12.964;12.974;12.964;12.964;45716.43
2024-04-30;13.214;13.214;13.21;13.21;37257.84
2024-05-02;13.372;13.376;13.356;13.356;75391.29
2024-05-03;13.406;13.406;13.406;13.406;9451.23
2024-05-07;13.422;13.422;13.404;13.404;28372.02
2024-05-09;13.154;13.154;13.134;13.134;64860.0
2024-05-10;13.15;13.15;13.146;13.146;18538.68
2024-05-15;13.108;13.18;13.108;13.172;56230.11
2024-05-31;13.008;13.044;13.008;13.04;147013.65
2024-06-03;13.052;13.052;13.048;13.048;18400.5
2024-06-04;13.16;13.16;13.128;13.128;74133.57
2024-06-10;13.14;13.14;13.14;13.14;1576.8
2024-06-14;12.994;12.994;12.988;12.988;18317.31
2024-07-09;13.39;13.39;13.39;13.39;9439.95
2024-07-15;13.602;13.608;13.602;13.604;28773.87
