Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-11-28;5.114;5.114;5.114;5.114;511.4
2022-12-01;5.122;5.122;5.122;5.122;512.2
2022-12-05;5.163;5.163;5.163;5.163;5163.0
2022-12-09;5.152;5.152;5.147;5.147;20595.0
2022-12-12;5.161;5.161;5.161;5.161;5161.0
2022-12-27;5.099;5.099;5.057;5.059;168001.8
2022-12-28;5.058;5.074;5.058;5.058;17735.0
2022-12-30;5.036;5.036;5.036;5.036;5036.0
2023-01-04;5.096;5.109;5.096;5.109;15314.0
2023-01-09;5.134;5.134;5.134;5.134;3080.4
2023-01-10;5.151;5.151;5.151;5.151;1545.3
2023-01-11;5.159;5.161;5.159;5.161;111034.048
2023-01-16;5.195;5.195;5.195;5.195;5195.0
2023-01-18;5.255;5.255;5.255;5.255;5255.0
2023-01-20;5.226;5.226;5.226;5.226;5226.0
2023-01-25;5.209;5.209;5.209;5.209;2604.5
2023-01-30;5.208;5.208;5.208;5.208;5208.0
2023-01-31;5.194;5.205;5.191;5.205;325221.524
2023-02-03;5.24;5.24;5.24;5.24;5240.0
2023-02-06;5.22;5.22;5.216;5.216;5480.8
2023-02-09;5.18;5.18;5.18;5.18;51.8
2023-02-17;5.058;5.058;5.058;5.058;15174.0
2023-02-22;5.052;5.052;5.052;5.052;5052.0
2023-02-28;5.043;5.043;5.043;5.043;126.075
2023-03-21;5.11;5.117;5.11;5.117;215663.545
2023-04-18;5.166;5.166;5.166;5.166;5166.0
2023-05-09;5.131;5.131;5.131;5.131;5131.0
2023-05-23;5.081;5.081;5.081;5.081;1016.2
2023-05-24;5.1;5.1;5.1;5.1;47144.4
2023-06-08;5.076;5.076;5.076;5.076;3045.6
2023-06-09;5.1;5.1;5.1;5.1;32053.5
2023-06-12;5.099;5.099;5.099;5.099;10198.0
2023-07-11;5.101;5.101;5.101;5.101;10202.0
2023-07-24;5.162;5.162;5.162;5.162;5162.0
2023-07-25;5.148;5.148;5.148;5.148;5050.188
2023-07-28;5.11;5.11;5.11;5.11;5110.0
2023-08-18;5.026;5.026;5.019;5.019;10045.0
2023-10-18;4.8725;4.8725;4.862;4.862;109755.564
2023-10-19;4.84;4.851;4.84;4.851;110955.625
