Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2010-07-09;68.4;68.4;68.4;68.4;3009.6
2010-07-12;;;;68.4;
2010-07-13;;;;68.4;
2010-07-14;;;;68.4;
2010-07-15;;;;68.4;
2010-07-16;;;;68.4;
2010-07-19;;;;68.4;
2010-07-20;;;;68.4;
2010-07-21;;;;68.4;
2010-07-22;;;;68.4;
2010-07-23;;;;68.4;
2010-07-26;;;;68.4;
2010-07-27;;;;68.4;
2010-07-28;;;;68.4;
2010-07-29;;;;68.4;
2010-07-30;;;;68.4;
2010-08-02;;;;68.4;
2010-08-03;;;;68.4;
2010-08-04;;;;68.4;
2010-08-05;;;;68.4;
2010-08-06;;;;68.4;
2010-08-09;73.01;73.01;73.01;73.01;58846.1
2010-08-10;;;;73.01;
2010-08-11;;;;73.01;
2010-08-12;;;;73.01;
2010-08-13;;;;73.01;
2010-08-16;71.77;71.77;71.77;71.77;64593.0
2010-08-17;;;;71.77;
2010-08-18;;;;71.77;
2010-08-19;;;;71.77;
2010-08-20;;;;71.77;
2010-08-23;;;;71.77;
2010-08-24;;;;71.77;
2010-08-25;;;;71.77;
2010-08-26;;;;71.77;
2010-08-27;;;;71.77;
2010-08-30;;;;71.77;
2010-08-31;;;;71.77;
2010-09-01;;;;71.77;
2010-09-02;;;;71.77;
2010-09-03;72.73;72.73;72.73;72.73;65457.0
2010-09-06;;;;72.73;
2010-09-07;;;;72.73;
2010-09-08;;;;72.73;
2010-09-09;;;;72.73;
2010-09-10;;;;72.73;
2010-09-13;;;;72.73;
2010-09-14;;;;72.73;
2010-09-15;;;;72.73;
2010-09-16;;;;72.73;
2010-09-17;;;;72.73;
2010-09-20;;;;72.73;
2010-09-21;74.23;74.23;74.23;74.23;3266.1
2010-09-22;;;;74.23;
2010-09-23;;;;74.23;
2010-09-24;73.06;73.06;73.06;73.06;730.6
2010-09-27;;;;73.06;
2010-09-28;;;;73.06;
2010-09-29;;;;73.06;
2010-09-30;;;;73.06;
2010-10-01;;;;73.06;
2010-10-04;;;;73.06;
2010-10-05;;;;73.06;
2010-10-06;;;;73.06;
2010-10-07;;;;73.06;
2010-10-08;;;;73.06;
2010-10-11;;;;73.06;
2010-10-12;;;;73.06;
2010-10-13;;;;73.06;
2010-10-14;;;;73.06;
2010-10-15;;;;73.06;
2010-10-18;;;;73.06;
2010-10-19;;;;73.06;
2010-10-20;;;;73.06;
2010-10-21;;;;73.06;
2010-10-22;;;;73.06;
2010-10-25;72.89;72.89;72.7;72.75;13023.6
2010-10-26;;;;72.75;
2010-10-27;72.6;72.6;72.6;72.6;1089.0
2010-10-28;;;;72.6;
2010-10-29;;;;72.6;
2010-11-01;73.56;73.56;73.56;73.56;1103.4
2010-11-02;;;;73.56;
2010-11-03;;;;73.56;
2010-11-04;;;;73.56;
2010-11-05;;;;73.56;
2010-11-08;;;;73.56;
2010-11-09;;;;73.56;
2010-11-10;;;;73.56;
2010-11-11;;;;73.56;
2010-11-12;75.99;75.99;75.99;75.99;5243.3
2010-11-15;;;;75.99;
2010-11-16;;;;75.99;
2010-11-17;;;;75.99;
2010-11-18;;;;75.99;
2010-11-19;;;;75.99;
2010-11-22;;;;75.99;
2010-11-23;;;;75.99;
2010-11-24;;;;75.99;
2010-11-25;;;;75.99;
2010-11-26;;;;75.99;
2010-11-29;;;;75.99;
2010-11-30;;;;75.99;
2010-12-01;;;;75.99;
2010-12-02;;;;75.99;
2010-12-03;;;;75.99;
2010-12-06;;;;75.99;
2010-12-07;;;;75.99;
2010-12-08;;;;75.99;
2010-12-09;;;;75.99;
2010-12-10;78.28;78.28;78.27;78.27;3365.7
2010-12-13;;;;78.27;
2010-12-14;78.04;78.04;78.04;78.04;5072.6
2010-12-15;;;;78.04;
2010-12-16;;;;78.04;
2010-12-17;;;;78.04;
2010-12-20;;;;78.04;
2010-12-21;;;;78.04;
2010-12-22;;;;78.04;
2010-12-23;;;;78.04;
2010-12-27;;;;78.04;
2010-12-28;;;;78.04;
2010-12-29;;;;78.04;
2010-12-30;;;;78.04;
2011-01-03;78.87;78.87;78.87;78.87;552.1
2011-01-04;;;;78.87;
2011-01-05;;;;78.87;
2011-01-06;;;;78.87;
2011-01-07;;;;78.87;
2011-01-10;80.12;80.12;80.12;80.12;1041.6
2011-01-11;;;;80.12;
2011-01-12;;;;80.12;
2011-01-13;;;;80.12;
2011-01-14;;;;80.12;
2011-01-17;;;;80.12;
2011-01-18;;;;80.12;
2011-01-19;;;;80.12;
2011-01-20;;;;80.12;
2011-01-21;;;;80.12;
2011-01-24;;;;80.12;
2011-01-25;;;;80.12;
2011-01-26;;;;80.12;
2011-01-27;;;;80.12;
2011-01-28;;;;80.12;
2011-01-31;;;;80.12;
2011-02-01;78.4;78.4;78.4;78.4;86240.0
2011-02-02;;;;78.4;
2011-02-03;;;;78.4;
2011-02-04;;;;78.4;
2011-02-07;;;;78.4;
2011-02-08;;;;78.4;
2011-02-09;;;;78.4;
2011-02-10;;;;78.4;
2011-02-11;;;;78.4;
2011-02-14;;;;78.4;
2011-02-15;;;;78.4;
2011-02-16;;;;78.4;
2011-02-17;;;;78.4;
2011-02-18;;;;78.4;
2011-02-21;;;;78.4;
2011-02-22;;;;78.4;
2011-02-23;;;;78.4;
2011-02-24;;;;78.4;
2011-02-25;79.61;79.61;79.61;79.61;2388.3
2011-02-28;;;;79.61;
2011-03-01;;;;79.61;
2011-03-02;;;;79.61;
2011-03-03;;;;79.61;
2011-03-04;;;;79.61;
2011-03-07;;;;79.61;
2011-03-08;;;;79.61;
2011-03-09;79.0;79.0;79.0;79.0;9480.0
2011-03-10;;;;79.0;
2011-03-11;;;;79.0;
2011-03-14;;;;79.0;
2011-03-15;73.31;73.77;73.31;73.77;3670.1
2011-03-16;;;;73.77;
2011-03-17;;;;73.77;
2011-03-18;;;;73.77;
2011-03-21;;;;73.77;
2011-03-22;;;;73.77;
2011-03-23;;;;73.77;
2011-03-24;;;;73.77;
2011-03-25;;;;73.77;
2011-03-28;;;;73.77;
2011-03-29;;;;73.77;
2011-03-30;;;;73.77;
2011-03-31;;;;73.77;
2011-04-01;76.71;76.71;76.71;76.71;3068.4
2011-04-04;;;;76.71;
2011-04-05;;;;76.71;
2011-04-06;;;;76.71;
2011-04-07;;;;76.71;
2011-04-08;;;;76.71;
2011-04-11;;;;76.71;
2011-04-12;;;;76.71;
2011-04-13;;;;76.71;
2011-04-14;;;;76.71;
2011-04-15;;;;76.71;
2011-04-18;;;;76.71;
2011-04-19;;;;76.71;
2011-04-20;;;;76.71;
2011-04-21;;;;76.71;
2011-04-26;;;;76.71;
2011-04-27;;;;76.71;
2011-04-28;;;;76.71;
2011-04-29;;;;76.71;
2011-05-02;;;;76.71;
2011-05-03;;;;76.71;
2011-05-04;;;;76.71;
2011-05-05;;;;76.71;
2011-05-06;;;;76.71;
2011-05-09;;;;76.71;
2011-05-10;;;;76.71;
2011-05-11;;;;76.71;
2011-05-12;;;;76.71;
2011-05-13;;;;76.71;
2011-05-16;;;;76.71;
2011-05-17;;;;76.71;
2011-05-18;;;;76.71;
2011-05-19;;;;76.71;
2011-05-20;;;;76.71;
2011-05-23;;;;76.71;
2011-05-24;;;;76.71;
2011-05-25;;;;76.71;
2011-05-26;;;;76.71;
2011-05-27;;;;76.71;
2011-05-30;;;;76.71;
2011-05-31;;;;76.71;
2011-06-01;;;;76.71;
2011-06-02;;;;76.71;
2011-06-03;;;;76.71;
2011-06-06;;;;76.71;
2011-06-07;;;;76.71;
2011-06-08;;;;76.71;
2011-06-09;;;;76.71;
2011-06-10;;;;76.71;
2011-06-13;;;;76.71;
2011-06-14;;;;76.71;
2011-06-15;;;;76.71;
2011-06-16;75.11;75.11;75.11;75.11;3755.5
2011-06-17;;;;75.11;
2011-06-20;;;;75.11;
2011-06-21;;;;75.11;
2011-06-22;;;;75.11;
2011-06-23;;;;75.11;
2011-06-24;;;;75.11;
2011-06-27;;;;75.11;
2011-06-28;;;;75.11;
2011-06-29;;;;75.11;
2011-06-30;;;;75.11;
2011-07-01;;;;75.11;
2011-07-04;;;;75.11;
2011-07-05;;;;75.11;
2011-07-06;76.27;76.34;76.27;76.34;429978.6
2011-07-07;;;;76.34;
2011-07-08;;;;76.34;
2011-07-11;;;;76.34;
2011-07-12;;;;76.34;
2011-07-13;;;;76.34;
2011-07-14;;;;76.34;
2011-07-15;;;;76.34;
2011-07-18;;;;76.34;
2011-07-19;;;;76.34;
2011-07-20;;;;76.34;
2011-07-21;;;;76.34;
2011-07-22;;;;76.34;
2011-07-25;;;;76.34;
2011-07-26;;;;76.34;
2011-07-27;;;;76.34;
2011-07-28;;;;76.34;
2011-07-29;;;;76.34;
2011-08-01;;;;76.34;
2011-08-02;;;;76.34;
2011-08-03;;;;76.34;
2011-08-04;;;;76.34;
2011-08-05;;;;76.34;
2011-08-08;;;;76.34;
2011-08-09;;;;76.34;
2011-08-10;;;;76.34;
2011-08-11;;;;76.34;
2011-08-12;;;;76.34;
2011-08-16;;;;76.34;
2011-08-17;;;;76.34;
2011-08-18;;;;76.34;
2011-08-19;;;;76.34;
2011-08-22;67.77;68.5;67.62;68.5;4403585.0
2011-08-23;;;;68.5;
2011-08-24;69.2;69.2;69.2;69.2;692.0
2011-08-25;66.83;66.83;66.83;66.83;668.3
2011-08-26;;;;66.83;
2011-08-29;;;;66.83;
2011-08-30;;;;66.83;
2011-08-31;;;;66.83;
2011-09-01;70.41;70.41;70.41;70.41;563.3
2011-09-02;;;;70.41;
2011-09-05;;;;70.41;
2011-09-06;;;;70.41;
2011-09-07;;;;70.41;
2011-09-08;;;;70.41;
2011-09-09;;;;70.41;
2011-09-12;68.53;68.53;68.53;68.53;68.5
2011-09-13;;;;68.53;
2011-09-14;;;;68.53;
2011-09-15;70.94;70.94;70.94;70.94;70.9
2011-09-16;;;;70.94;
2011-09-19;;;;70.94;
2011-09-20;;;;70.94;
2011-09-21;;;;70.94;
2011-09-22;;;;70.94;
2011-09-23;65.71;65.71;65.71;65.71;131.4
2011-09-26;;;;65.71;
2011-09-27;;;;65.71;
2011-09-28;;;;65.71;
2011-09-29;;;;65.71;
2011-09-30;;;;65.71;
2011-10-03;;;;65.71;
2011-10-04;67.01;67.01;67.01;67.01;226560.8
