Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-11-19;4.911;4.911;4.911;4.911;7366.5
2022-01-12;4.845;4.845;4.845;4.845;750.975
2022-01-27;4.704;4.704;4.704;4.704;940.8
2022-06-08;5.003;5.003;5.003;5.003;105403.204
2022-08-05;5.003;5.003;5.003;5.003;10.006
2022-09-14;4.872;4.872;4.872;4.872;9.744
2023-01-31;5.205;5.205;5.205;5.205;2082.0
2023-02-08;5.183;5.196;5.183;5.196;210807.869
2023-04-20;4.8955;4.8955;4.8955;4.8955;34939.1835
2023-06-02;4.786;4.786;4.786;4.786;65797.928
2023-06-05;4.8215;4.825;4.8215;4.825;60639.028
2023-07-31;4.904;4.904;4.904;4.904;7498.216
2023-08-02;4.7665;4.7665;4.7665;4.7665;3350.8495
2023-10-24;4.4995;4.5385;4.4995;4.5385;220452.1215
2023-11-08;4.6125;4.6125;4.6125;4.6125;105580.125
2023-12-13;4.6965;4.6965;4.6965;4.6965;2817.9
2024-01-18;4.6985;4.6985;4.6985;4.6985;61080.5
2024-02-06;4.8545;4.8575;4.8545;4.8575;194234.639
2024-02-14;4.81;4.81;4.81;4.81;322.27
2024-02-20;4.8975;4.8975;4.8975;4.8975;105173.8125
2024-03-07;4.9455;4.9455;4.9455;4.9455;7418.25
2024-04-02;5.029;5.03;5.029;5.03;100599.503
2024-04-10;4.984;4.984;4.984;4.984;2477.048
2024-04-12;4.991;4.991;4.991;4.991;104905.829
2024-04-15;4.925;4.925;4.925;4.925;1802.55
2024-05-28;5.13;5.13;5.13;5.13;3237.03
2024-09-03;5.229;5.229;5.229;5.229;1385.685
2024-09-13;5.294;5.294;5.294;5.294;105387.658
2024-09-26;5.55;5.55;5.55;5.55;106954.05
2024-10-08;5.551;5.551;5.551;5.551;111.02
2024-11-11;5.661;5.661;5.661;5.661;5.661
2024-11-13;5.575;5.575;5.575;5.575;5.575
2024-11-14;5.625;5.625;5.625;5.625;105350.625
2024-11-19;5.671;5.671;5.671;5.671;106098.739
2024-12-16;5.597;5.597;5.597;5.597;1298.504
2024-12-19;5.514;5.514;5.514;5.514;5.514
2025-01-14;5.506;5.506;5.506;5.506;5.506
2025-02-03;5.682;5.682;5.682;5.682;22.728
2025-02-05;5.599;5.599;5.599;5.599;111.98
2025-02-13;5.723;5.723;5.723;5.723;98870.548
2025-02-24;5.649;5.649;5.649;5.649;84.735
2025-02-25;5.576;5.593;5.576;5.593;106.012
2025-03-03;5.609;5.609;5.609;5.609;56.09
2025-03-07;5.35;5.35;5.349;5.349;49034.479
2025-03-10;5.391;5.391;5.391;5.391;932.643
2025-03-13;5.22;5.22;5.22;5.22;47851.74
2025-03-18;5.331;5.331;5.284;5.284;106.15
2025-03-20;5.328;5.328;5.316;5.316;2128.8
2025-03-25;5.375;5.376;5.375;5.376;3494.161
2025-04-15;4.982;4.982;4.9435;4.9435;108628.817
2025-04-23;5.123;5.123;5.123;5.123;108003.086
2025-04-25;5.141;5.154;5.135;5.154;211840.031
2025-05-05;5.333;5.333;5.333;5.333;266.65
2025-05-15;5.525;5.525;5.525;5.525;403.325
2025-06-02;5.494;5.494;5.494;5.494;241.736
2025-06-10;5.668;5.668;5.668;5.668;22.672
2025-06-16;5.584;5.616;5.584;5.616;56.0
2025-07-01;5.521;5.521;5.521;5.521;242.924
2025-07-03;5.545;5.545;5.545;5.545;3997.945
2025-07-10;5.557;5.557;5.557;5.557;5.557
2025-07-11;5.558;5.558;5.558;5.558;5558.0
2025-07-15;5.6;5.601;5.594;5.595;34110.025
2025-07-21;5.656;5.656;5.656;5.656;2002.224
2025-08-04;5.668;5.668;5.668;5.668;243.724
2025-08-08;5.719;5.719;5.71;5.71;417.46
2025-08-14;5.772;5.772;5.772;5.772;2499.276
2025-08-18;5.773;5.777;5.773;5.777;652.353
2025-08-25;5.877;5.877;5.877;5.877;70.524
2025-08-26;5.869;5.869;5.869;5.869;193.677
2025-08-29;5.885;5.885;5.885;5.885;5002.25
2025-09-02;5.795;5.827;5.795;5.827;5388.794
2025-09-03;5.795;5.795;5.795;5.795;5.795
2025-09-08;5.832;5.857;5.832;5.857;23.403
2025-09-09;5.848;5.848;5.848;5.848;4543.896
2025-09-10;5.9;5.9;5.9;5.9;1292.1
2025-09-11;5.9;5.904;5.9;5.904;4544.047
2025-09-12;5.94;5.94;5.94;5.94;5940.0
2025-09-15;5.944;5.951;5.944;5.951;992.655
2025-09-16;5.912;5.912;5.912;5.912;4475.384
2025-09-17;5.864;5.87;5.864;5.87;6787.048
2025-09-18;5.815;5.815;5.815;5.815;24766.085
2025-09-19;5.842;5.842;5.842;5.842;58.42
2025-09-22;5.827;5.828;5.827;5.828;18043.311
2025-09-24;5.781;5.781;5.781;5.781;4462.932
2025-09-25;5.779;5.779;5.779;5.779;4467.167
2025-09-26;5.786;5.786;5.786;5.786;4015.484
2025-09-29;5.844;5.844;5.844;5.844;8660.808
2025-09-30;5.834;5.835;5.834;5.835;99433.457
2025-10-01;5.883;5.883;5.883;5.883;535.353
2025-10-06;5.958;5.958;5.958;5.958;7495.164
2025-10-07;5.953;5.953;5.953;5.953;4554.045
2025-10-08;5.986;5.986;5.986;5.986;23.944
2025-10-10;5.962;5.962;5.962;5.962;17522.318
2025-10-13;5.86;5.86;5.86;5.86;4506.34
2025-10-15;5.877;5.877;5.877;5.877;799.272
2025-10-20;5.881;5.881;5.881;5.881;4504.846
2025-10-21;5.927;5.927;5.927;5.927;4996.461
2025-10-22;5.911;5.911;5.911;5.911;9989.59
2025-10-23;5.92;5.92;5.92;5.92;11.84
2025-10-24;5.893;5.893;5.893;5.893;6488.193
2025-10-30;5.885;5.897;5.885;5.897;7444.64
2025-11-03;5.962;5.962;5.94;5.94;5107.41
2025-11-04;5.876;5.876;5.876;5.876;3214.172
2025-11-05;5.896;5.896;5.896;5.896;12334.432
2025-11-07;5.887;5.887;5.887;5.887;15724.177
2025-11-10;5.916;5.936;5.916;5.936;4543.588
2025-11-11;5.934;5.934;5.934;5.934;8663.64
2025-11-12;5.921;5.921;5.921;5.921;5257.848
2025-11-13;5.904;5.904;5.904;5.904;1003.68
2025-11-14;5.769;5.781;5.746;5.781;156669.852
2025-11-17;5.792;5.792;5.792;5.792;347.52
2025-11-18;5.676;5.676;5.676;5.676;976.272
2025-11-24;5.737;5.737;5.737;5.737;11.474
2025-11-25;5.68;5.686;5.679;5.686;114130.139
2025-11-27;5.735;5.735;5.735;5.735;4410.215
2025-12-01;5.744;5.744;5.715;5.715;4906.138
2025-12-08;5.764;5.764;5.764;5.764;28.82
2025-12-10;5.727;5.727;5.727;5.727;6992.667
2025-12-11;5.715;5.715;5.715;5.715;3960.495
2025-12-15;5.745;5.745;5.745;5.745;212.565
2025-12-16;5.707;5.707;5.707;5.707;85.605
2025-12-17;5.705;5.705;5.7;5.7;3970.62
2025-12-18;5.709;5.709;5.709;5.709;570.9
2025-12-22;5.77;5.77;5.765;5.765;4444.845
2025-12-23;5.862;5.862;5.862;5.862;5.862
2026-01-02;5.861;5.861;5.848;5.848;198274.76
