Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-10-18;6.631;6.631;6.631;6.631;47789.617
2021-12-03;6.987;6.987;6.987;6.987;279.48
2022-01-04;7.338;7.338;7.338;7.338;66460.266
2022-02-18;6.629;6.632;6.629;6.632;19893.9
2022-02-28;6.678;6.678;6.678;6.678;5008.5
2022-03-14;6.61;6.61;6.61;6.61;297.45
2022-03-18;6.784;6.784;6.784;6.784;25440.0
2022-04-08;7.104;7.104;7.104;7.104;49607.232
2022-04-25;6.721;6.721;6.721;6.721;5040.75
2022-08-02;6.863;6.863;6.863;6.863;1001.998
2022-08-04;6.952;6.952;6.952;6.952;5214.0
2022-08-30;6.848;6.848;6.848;6.848;49853.44
2022-10-11;6.31;6.31;6.31;6.31;4732.5
2023-02-15;6.562;6.562;6.562;6.562;229.67
2023-12-01;7.361;7.361;7.361;7.361;10577.757
2023-12-13;7.555;7.555;7.555;7.555;10856.535
2024-03-25;8.481;8.481;8.481;8.481;424.05
2024-04-02;8.493;8.493;8.423;8.423;837.377
2024-04-22;8.219;8.219;8.219;8.219;410.95
2024-04-26;8.28;8.28;8.28;8.28;414.0
2024-05-28;8.629;8.629;8.629;8.629;92192.236
2024-05-29;8.626;8.626;8.626;8.626;1725.2
2024-06-04;8.578;8.578;8.578;8.578;2144.5
2024-06-07;8.724;8.724;8.724;8.724;105176.544
2024-06-12;8.904;8.904;8.904;8.904;7123.2
2024-06-14;8.988;8.988;8.988;8.988;15279.6
2024-06-21;9.055;9.074;9.03;9.03;16903.0
2024-07-04;9.112;9.112;9.112;9.112;182.24
2024-07-12;9.162;9.162;9.162;9.162;201.564
2024-07-16;9.206;9.206;9.206;9.206;14729.6
2024-07-18;9.129;9.129;9.129;9.129;20083.8
2024-07-26;8.93;8.93;8.93;8.93;8930.0
2024-08-05;8.467;8.479;8.458;8.476;311595.088
2024-08-08;8.613;8.614;8.613;8.614;50820.464
2024-08-20;9.056;9.056;9.056;9.056;10867.2
2024-09-03;9.117;9.117;9.117;9.117;8305.587
2024-09-05;8.88;8.88;8.82;8.82;25425.6
2024-09-13;9.014;9.014;9.014;9.014;20678.116
2024-09-16;9.012;9.012;9.012;9.012;8110.8
2024-09-19;9.11;9.155;9.11;9.155;9989.465
2024-09-24;9.171;9.171;9.158;9.158;150683.968
2024-09-25;9.116;9.116;9.116;9.116;50502.64
2024-09-26;9.199;9.199;9.15;9.15;386237.8
2024-09-30;9.112;9.132;9.112;9.132;29650.324
2024-10-02;9.175;9.175;9.175;9.175;20185.0
2024-10-04;9.215;9.234;9.215;9.234;47815.4
2024-10-08;9.243;9.301;9.243;9.301;23523.335
2024-10-17;9.628;9.628;9.628;9.628;2512.908
2024-10-18;9.641;9.641;9.63;9.63;17689.035
2024-10-22;9.63;9.63;9.63;9.63;11556.0
2024-10-23;9.622;9.622;9.622;9.622;962.2
2024-10-24;9.62;9.62;9.62;9.62;3559.4
2024-10-28;9.622;9.622;9.622;9.622;20013.76
2024-10-29;9.598;9.619;9.598;9.619;54632.056
2024-10-30;9.637;9.637;9.637;9.637;17018.942
2024-11-04;9.407;9.407;9.407;9.407;47.035
2024-11-06;9.82;9.82;9.82;9.82;1964.0
2024-11-07;9.862;9.862;9.862;9.862;1577.92
2024-11-08;9.945;9.945;9.945;9.945;4972.5
2024-11-11;10.074;10.124;10.074;10.124;11033.33
2024-11-14;10.196;10.196;10.166;10.166;41965.05
2024-11-15;10.06;10.062;10.034;10.034;1538101.862
2024-11-18;10.01;10.01;9.995;10.004;106093.985
2024-11-19;9.962;9.962;9.961;9.961;13796.677
2024-11-20;10.068;10.068;10.068;10.068;1339.044
2024-11-21;10.13;10.142;10.13;10.13;35097.724
2024-11-22;10.24;10.24;10.24;10.24;105625.6
2024-11-25;10.29;10.29;10.266;10.266;24516.986
2024-11-27;10.208;10.208;10.208;10.208;428.736
2024-11-28;10.208;10.208;10.208;10.208;806.432
2024-11-29;10.236;10.236;10.236;10.236;10.236
2024-12-02;10.268;10.33;10.268;10.326;135401.176
2024-12-03;10.278;10.312;10.278;10.312;5781.202
2024-12-04;10.344;10.386;10.338;10.386;68779.254
2024-12-06;10.322;10.322;10.322;10.322;20127.9
2024-12-09;10.334;10.334;10.324;10.324;11365.9
2024-12-10;10.268;10.268;10.266;10.266;10266.484
2024-12-11;10.296;10.334;10.296;10.334;148911.748
2024-12-12;10.31;10.31;10.31;10.31;4969.42
2024-12-13;10.388;10.388;10.312;10.312;28790.138
2024-12-16;10.23;10.23;10.23;10.23;8184.0
2024-12-17;10.246;10.246;10.246;10.246;26250.252
2024-12-20;10.0;10.0;9.989;9.989;2467.371
2024-12-23;10.168;10.188;10.168;10.188;5894.472
2024-12-27;10.264;10.292;10.264;10.292;1356.892
2024-12-30;10.144;10.144;10.144;10.144;385.472
2025-01-02;10.256;10.274;10.256;10.27;2762.82
2025-01-03;10.194;10.254;10.194;10.254;11159.076
2025-01-06;10.232;10.258;10.232;10.258;13000.284
2025-01-07;10.222;10.222;10.204;10.204;1410.006
2025-01-08;10.19;10.212;10.188;10.212;18780.828
2025-01-09;10.184;10.184;10.184;10.184;54851.024
2025-01-10;10.222;10.226;10.108;10.108;8516.41
2025-01-13;10.102;10.102;10.102;10.102;8081.6
2025-01-14;10.158;10.182;10.158;10.182;16491.96
2025-01-15;10.132;10.27;10.124;10.27;202918.522
2025-01-16;10.352;10.352;10.31;10.31;29964.798
2025-01-17;10.316;10.324;10.258;10.324;250261.712
2025-01-20;10.352;10.37;10.302;10.302;59318.942
2025-01-21;10.382;10.384;10.348;10.348;3561.89
2025-01-22;10.416;10.428;10.382;10.428;45511.512
2025-01-23;10.36;10.382;10.36;10.38;24445.504
2025-01-24;10.372;10.444;10.372;10.392;81966.344
2025-01-27;10.202;10.202;10.074;10.184;33967.6
2025-01-28;10.274;10.314;10.258;10.258;67961.684
2025-01-29;10.374;10.374;10.374;10.374;2303.028
2025-01-30;10.37;10.37;10.37;10.37;238.51
2025-01-31;10.536;10.536;10.486;10.5;543114.832
2025-02-03;10.326;10.326;10.316;10.316;5059.62
2025-02-04;10.284;10.378;10.282;10.378;67179.242
2025-02-05;10.3;10.328;10.284;10.328;15654.936
2025-02-06;10.466;10.488;10.428;10.458;73854.384
2025-02-07;10.396;10.518;10.396;10.458;16741.5
2025-02-10;10.408;10.466;10.408;10.466;18211.172
2025-02-11;10.448;10.474;10.418;10.452;39579.584
2025-02-12;10.426;10.426;10.374;10.374;17817.636
2025-02-13;10.338;10.384;10.338;10.384;8661.95
2025-02-14;10.362;10.418;10.362;10.418;16067.314
2025-02-17;10.386;10.422;10.386;10.42;76173.304
2025-02-18;10.408;10.464;10.408;10.424;116446.232
2025-02-19;10.436;10.44;10.436;10.436;29441.368
2025-02-21;10.374;10.446;10.358;10.358;53480.432
2025-02-24;10.268;10.274;10.238;10.274;28964.578
2025-02-25;10.162;10.162;10.02;10.02;72697.468
2025-02-26;10.082;10.152;10.082;10.136;590164.346
2025-02-27;10.118;10.152;10.114;10.152;48391.858
2025-02-28;10.006;10.008;9.987;9.987;28179.954
2025-03-03;10.17;10.17;10.106;10.106;22161.17
2025-03-04;9.828;9.828;9.666;9.666;25578.4
2025-03-05;9.658;9.658;9.486;9.486;48091.546
2025-03-06;9.488;9.488;9.488;9.488;2675.616
2025-03-07;9.418;9.418;9.34;9.342;36608.308
2025-03-10;9.313;9.313;9.219;9.224;543591.078
2025-03-11;9.116;9.116;9.019;9.019;37121.164
2025-03-12;9.081;9.126;9.081;9.104;18694.245
2025-03-13;9.068;9.154;9.021;9.026;95157.855
2025-03-14;9.068;9.068;9.068;9.068;906.8
2025-03-17;9.112;9.112;9.112;9.112;16328.704
2025-03-18;9.158;9.158;9.158;9.158;15568.6
2025-03-19;9.186;9.186;9.186;9.186;12731.796
2025-03-20;9.27;9.27;9.184;9.184;35729.242
2025-03-21;9.207;9.207;9.17;9.17;48994.103
2025-03-24;9.369;9.39;9.328;9.39;73093.1
2025-03-25;9.435;9.474;9.419;9.474;39436.37
2025-03-26;9.432;9.432;9.432;9.432;1037.52
2025-03-27;9.386;9.387;9.386;9.387;25690.218
2025-03-28;9.307;9.307;9.143;9.143;6643.689
2025-03-31;8.989;9.032;8.989;9.032;41198.289
2025-04-01;9.161;9.161;9.154;9.154;21436.04
2025-04-03;8.68;8.689;8.68;8.689;2387.261
2025-04-04;8.396;8.396;8.396;8.396;1847.12
2025-04-07;7.756;8.407;7.756;8.013;235318.701
2025-04-08;8.25;8.454;8.25;8.454;48489.456
2025-04-09;7.914;8.056;7.914;8.0;7683.022
2025-04-10;8.718;8.718;8.547;8.547;258.12
2025-04-11;8.291;8.291;8.059;8.059;98741.514
2025-04-14;8.389;8.439;8.389;8.439;2671.622
2025-04-15;8.426;8.477;8.426;8.477;7844.963
2025-04-16;8.278;8.278;8.278;8.278;13451.75
