Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-10-17;24.05;24.05;24.05;24.05;19937.45
2022-11-01;25.63;25.655;25.5;25.5;21347.05
2022-11-04;25.48;25.48;25.48;25.48;2548.0
2022-11-07;25.55;25.625;25.55;25.625;8298.95
2022-11-10;25.97;25.97;25.97;25.97;519.4
2022-11-11;25.95;25.95;25.95;25.95;1686.75
2022-11-25;25.81;25.81;25.81;25.81;1677.65
2022-11-29;25.73;25.73;25.73;25.73;5146.0
2022-12-12;25.0;25.0;25.0;25.0;1000.0
2022-12-15;24.86;24.86;24.86;24.86;248.6
2022-12-20;24.02;24.02;24.02;24.02;7206.0
2023-01-03;24.46;24.46;24.46;24.46;19568.0
2023-01-17;25.13;25.13;25.13;25.13;251.3
2023-02-01;25.96;25.96;25.96;25.96;1298.0
2023-02-07;26.67;26.67;26.67;26.67;2560.32
2023-02-08;26.7;26.7;26.7;26.7;2002.5
2023-02-16;27.3;27.3;27.06;27.06;7620.0
2023-02-17;27.14;27.14;27.14;27.14;2714.0
2023-02-23;27.09;27.09;27.09;27.09;27.09
2023-02-27;26.915;26.915;26.915;26.915;8074.5
2023-03-01;26.86;26.86;26.86;26.86;2417.4
2023-03-07;27.065;27.065;27.065;27.065;8119.5
2023-03-20;25.095;25.095;25.095;25.095;2509.5
2023-03-21;25.515;25.515;25.515;25.515;12757.5
2023-04-05;25.65;25.65;25.65;25.65;513.0
2023-04-06;25.27;25.27;25.27;25.27;5054.0
2023-04-13;25.265;25.265;25.265;25.265;2526.5
2023-04-18;26.065;26.065;26.065;26.065;2606.5
2023-04-21;25.065;25.065;25.065;25.065;2506.5
2023-05-09;25.795;25.795;25.795;25.795;15477.0
2023-05-22;26.495;26.495;26.495;26.495;7948.5
2023-05-29;26.115;26.115;26.115;26.115;391.725
2023-06-01;25.86;25.86;25.86;25.86;14998.8
2023-06-15;27.945;27.945;27.945;27.945;139.725
2023-06-28;27.46;27.59;27.46;27.59;2756.4
2023-07-03;28.34;28.35;28.34;28.35;850.22
2023-07-04;28.425;28.425;28.425;28.425;56850.0
2023-07-05;28.3;28.3;28.295;28.295;2263.85
2023-07-10;27.94;27.94;27.94;27.94;838.2
2023-07-11;27.89;27.89;27.89;27.89;836.7
2023-07-17;28.0;28.0;27.925;27.925;195.85
2023-07-28;28.91;28.915;28.91;28.915;1590.055
2023-08-01;29.14;29.14;28.985;28.985;2942.985
2023-08-07;28.105;28.105;28.105;28.105;2248.4
2023-08-16;27.19;27.19;27.12;27.12;163.07
2023-08-18;26.58;26.58;26.58;26.58;265.8
2023-08-23;26.98;26.98;26.98;26.98;4047.0
2023-09-01;27.52;27.855;27.52;27.855;2147.565
2023-09-14;27.775;27.775;27.775;27.775;944.35
2023-09-15;28.3;28.3;28.3;28.3;28.3
2023-09-18;28.17;28.17;27.975;27.975;11209.5
2023-09-19;28.05;28.145;28.05;28.07;11905.58
2023-09-22;28.005;28.005;28.005;28.005;2660.475
2023-09-28;27.505;27.505;27.505;27.505;3025.55
2023-10-03;27.23;27.23;27.23;27.23;54.46
2023-10-09;26.8;27.16;26.8;27.16;56597.0
2023-10-16;27.235;27.49;27.235;27.49;163.665
2023-10-23;25.985;25.99;25.985;25.99;27779.465
2023-10-25;25.905;25.905;25.905;25.905;1165.725
2023-10-30;25.415;25.415;25.415;25.415;19544.135
2023-10-31;25.36;25.36;25.36;25.36;2536.0
2023-11-01;25.79;25.79;25.79;25.79;25.79
2023-11-02;25.94;25.94;25.94;25.94;2204.9
