Date,CHINA A RMB HDY
2008-11-25,1000.0
2008-11-26,1021.9411862985526
2008-11-27,1033.7266763378682
2008-11-28,1014.4754000791154
2008-12-01,1012.782295165443
2008-12-02,1009.0508336399068
2008-12-03,1062.3543890714516
2008-12-04,1090.7370795658978
2008-12-05,1101.114373003384
2008-12-08,1140.3895608493845
2008-12-09,1118.091188853171
2008-12-10,1135.3341719627417
2008-12-11,1101.611678675746
2008-12-12,1052.9512731332347
2008-12-15,1061.82382761441
2008-12-16,1073.3378328569029
2008-12-17,1078.9670612905954
2008-12-18,1101.7856208544254
2008-12-19,1104.670460677789
2008-12-22,1077.691214378122
2008-12-23,1019.6062267643642
2008-12-24,997.7135822635998
2008-12-25,993.9278296412681
2008-12-26,991.6799320180345
2008-12-29,992.9194299074358
2008-12-30,980.3747460265643
2008-12-31,979.003328871671
2009-01-01,979.003328871671
2009-01-02,979.003328871671
2009-01-05,1024.4972946012356
2009-01-06,1056.8080950104618
2009-01-07,1050.5599688102063
2009-01-08,1022.9491512785795
2009-01-09,1036.1490208560144
2009-01-12,1031.636112331629
2009-01-13,1018.0370931692994
2009-01-14,1058.7734725450448
2009-01-15,1051.0690682770007
2009-01-16,1070.6391716650419
2009-01-19,1085.437356107845
2009-01-20,1094.2058620318949
2009-01-21,1082.5491830864976
2009-01-22,1089.685031526114
2009-01-23,1091.7660362640122
2009-01-26,1091.766036264012
2009-01-27,1091.7660362640117
2009-01-28,1091.7660362640115
2009-01-29,1091.7660362640113
2009-01-30,1091.766036264011
2009-02-02,1101.7943553667817
2009-02-03,1126.7030950348233
2009-02-04,1158.8862292160807
2009-02-05,1152.152875874085
2009-02-06,1189.0776354308725
2009-02-09,1220.3666135987942
2009-02-10,1229.9386280261206
2009-02-11,1236.0106357175252
2009-02-12,1218.9412809788296
2009-02-13,1259.700747008355
2009-02-16,1321.4288823306315
2009-02-17,1266.0982840712272
2009-02-18,1195.985676969869
2009-02-19,1222.6990479381107
2009-02-20,1242.8730965771565
2009-02-23,1266.0859016558538
2009-02-24,1200.468159867326
2009-02-25,1196.2292564774964
2009-02-26,1147.3396848935645
2009-02-27,1121.3331338763358
2009-03-02,1124.148607464713
2009-03-03,1113.0642468963292
2009-03-04,1182.6125353309683
2009-03-05,1192.1418734853148
2009-03-06,1176.554644465272
2009-03-09,1138.9650392357667
2009-03-10,1155.8926667334194
2009-03-11,1151.3442499673788
2009-03-12,1150.486009242415
2009-03-13,1145.0881196051635
2009-03-16,1160.6169506442404
2009-03-17,1191.9857213112223
2009-03-18,1202.9425710933683
2009-03-19,1225.1472279942054
2009-03-20,1223.55574461375
2009-03-23,1250.4367227889818
2009-03-24,1265.1070982692343
2009-03-25,1231.9006423013104
2009-03-26,1267.2426676629595
2009-03-27,1292.9365318620055
2009-03-30,1276.626074556666
2009-03-31,1280.9518570845867
2009-04-01,1303.0883134961093
2009-04-02,1320.381901197302
2009-04-03,1325.4100839501787
2009-04-06,1325.4100839501784
2009-04-07,1316.6650689535716
2009-04-08,1263.7248200563054
2009-04-09,1292.6293672440183
2009-04-10,1319.7537472295985
2009-04-13,1366.6939660642367
2009-04-14,1375.859213301494
2009-04-15,1373.4298212294398
2009-04-16,1377.3871201782083
2009-04-17,1349.4096582870873
2009-04-20,1380.7182508117787
2009-04-21,1371.1584949242886
2009-04-22,1324.1247218759413
2009-04-23,1330.72430055402
2009-04-24,1323.48824381999
2009-04-27,1289.5864150422651
2009-04-28,1278.9246760086928
2009-04-29,1319.6178891070892
2009-04-30,1325.2893189355573
2009-05-01,1325.2893189355573
2009-05-04,1380.2436867310614
2009-05-05,1384.2331907771609
2009-05-06,1408.8198124123371
2009-05-07,1407.919378476876
2009-05-08,1411.7813801664363
2009-05-11,1385.5757781379184
2009-05-12,1413.3796360899807
2009-05-13,1412.9882556218413
2009-05-14,1392.31041430498
2009-05-15,1386.1383643544739
2009-05-18,1394.1658044249828
2009-05-19,1408.4423665834472
2009-05-20,1397.44159622665
2009-05-21,1357.9741572944886
2009-05-22,1359.3020460395871
2009-05-25,1352.1519576149076
2009-05-26,1339.9500792568892
2009-05-27,1362.762410652892
2009-05-28,1362.762410652892
2009-05-29,1362.762410652892
2009-06-01,1402.0036170484925
2009-06-02,1408.7083879988106
2009-06-03,1435.7836699555294
2009-06-04,1443.8193835572263
2009-06-05,1433.747062672743
2009-06-08,1444.5184289088654
2009-06-09,1454.416495103516
2009-06-10,1475.8201030427333
2009-06-11,1465.0609908577314
2009-06-12,1432.106955942191
2009-06-15,1464.1429619608068
2009-06-16,1460.5241558459095
2009-06-17,1474.3754972437348
2009-06-18,1497.8426664065726
2009-06-19,1518.6054634327686
2009-06-22,1534.714711501754
2009-06-23,1553.6411703200006
2009-06-24,1577.1583775708564
2009-06-25,1571.7990614446426
2009-06-26,1573.5116875780266
2009-06-29,1586.609174927308
2009-06-30,1569.346305298826
2009-07-01,1593.5154724493752
2009-07-02,1604.373790042856
2009-07-03,1618.7785257417022
2009-07-06,1651.2424101899321
2009-07-07,1636.1060325749208
