Date,EM EUROPE ESG LEADERS
2007-09-28,1000.0
2007-10-01,1011.1059520995447
2007-10-02,1017.3663265580311
2007-10-03,1013.0753461967785
2007-10-04,1015.4908594546094
2007-10-05,1033.4528157940495
2007-10-08,1030.3896200820477
2007-10-09,1041.24856843604
2007-10-10,1037.3270811486786
2007-10-11,1066.7814996532286
2007-10-12,1057.4348227222674
2007-10-15,1063.085938635833
2007-10-16,1037.5654851228683
2007-10-17,1047.5223014089386
2007-10-18,1040.384169333774
2007-10-19,1038.5226754099103
2007-10-22,1020.4776628815105
2007-10-23,1047.9940150020075
2007-10-24,1042.241614943501
2007-10-25,1062.8709453883073
2007-10-26,1080.9705894952676
2007-10-29,1096.1510052868337
2007-10-30,1092.7348301611833
2007-10-31,1097.4224182681787
2007-11-01,1092.7198545079382
2007-11-02,1089.245869634349
2007-11-05,1083.9952708308374
2007-11-06,1101.9233963369813
2007-11-07,1093.4074288378474
2007-11-08,1092.41914695926
2007-11-09,1076.9228444743067
2007-11-12,1048.1568076838307
2007-11-13,1057.9139683634628
2007-11-14,1067.4307005101443
2007-11-15,1052.3046301856043
2007-11-16,1046.183851799544
2007-11-19,1042.6134565453171
2007-11-20,1056.2778717524889
2007-11-21,1046.8939819704106
2007-11-22,1039.3896470714428
2007-11-23,1038.563940525305
2007-11-26,1040.9603979453432
2007-11-27,1014.42051498366
2007-11-28,1040.7083682644095
2007-11-29,1049.9786180565013
2007-11-30,1060.9763105998554
2007-12-03,1044.214791427823
2007-12-04,1051.665821301226
2007-12-05,1086.537147390326
2007-12-06,1100.9439676100492
2007-12-07,1114.911317709238
2007-12-10,1134.7797112135283
2007-12-11,1121.756150450553
2007-12-12,1127.8170058640853
2007-12-13,1099.6362521815358
2007-12-14,1075.279141584012
2007-12-17,1044.1562541533324
2007-12-18,1046.048829917562
2007-12-19,1037.6021048860216
2007-12-20,1035.3779251113817
2007-12-21,1034.3834188979954
2007-12-24,1039.6750749802322
2007-12-25,1040.3693796691643
2007-12-26,1043.7939067142936
2007-12-27,1064.291313153975
2007-12-28,1065.0551229213272
2007-12-31,1063.132613518506
2008-01-01,1063.132613518506
2008-01-02,1069.2448540408154
2008-01-03,1074.0120207169375
2008-01-04,1059.6877815235155
2008-01-07,1043.621737733012
2008-01-08,1066.9316547136782
2008-01-09,1042.2802094733831
2008-01-10,1028.9695807818316
2008-01-11,1027.0598650757006
2008-01-14,1031.2720659131007
2008-01-15,1001.4646832978245
2008-01-16,946.4261637807483
2008-01-17,942.691357608838
2008-01-18,947.4085667054791
2008-01-21,873.9870536026358
2008-01-22,884.2822377668132
2008-01-23,858.949170994914
2008-01-24,926.2803949125351
2008-01-25,929.3912127169139
2008-01-28,903.12464768167
2008-01-29,914.0471988853116
2008-01-30,918.2959708325225
2008-01-31,891.3478937562738
2008-02-01,919.124371450053
2008-02-04,938.4683909923613
2008-02-05,902.6289975672963
2008-02-06,899.2039539141714
2008-02-07,862.7552919345403
2008-02-08,864.4464416896542
2008-02-11,876.2610610729699
2008-02-12,921.9114653370756
2008-02-13,939.0624975273287
2008-02-14,947.2591034696427
2008-02-15,928.5450546876556
2008-02-18,948.3785380199786
2008-02-19,952.6160783602674
2008-02-20,942.4624649703403
2008-02-21,956.5527005925817
2008-02-22,946.982692862657
2008-02-25,963.403148082951
2008-02-26,968.6084387765509
2008-02-27,982.8579616172036
2008-02-28,980.6207105848173
2008-02-29,956.1106908394581
2008-03-03,940.7602939442253
2008-03-04,923.606848867067
2008-03-05,947.6269634126127
2008-03-06,929.1385972100345
2008-03-07,907.9547139941402
2008-03-10,909.8412419531371
2008-03-11,948.5377917408432
2008-03-12,970.8859196077027
2008-03-13,946.4553017844822
2008-03-14,947.3053401704079
