Date,CHINA A RMB HDY
2008-11-25,1000.0
2008-11-26,1029.511121011875
2008-11-27,1042.7588887636389
2008-11-28,1038.380210909256
2008-12-01,1044.3425389709637
2008-12-02,1030.5942851661314
2008-12-03,1087.2588791032672
2008-12-04,1112.1442290313928
2008-12-05,1128.1275914307762
2008-12-08,1145.5492955111804
2008-12-09,1126.1549717584323
2008-12-10,1135.377880689285
2008-12-11,1081.3795240450902
2008-12-12,1022.7904521318115
2008-12-15,1008.7384612556015
2008-12-16,1013.0817756001202
2008-12-17,978.1951830268223
2008-12-18,988.3614769249078
2008-12-19,1029.7835954267448
2008-12-22,1005.427108597712
2008-12-23,949.8383067863693
2008-12-24,926.4865410531324
2008-12-25,922.9710543295886
2008-12-26,916.4607198698045
2008-12-29,905.8750741526958
2008-12-30,900.2161406478148
2008-12-31,914.7365372026376
2009-01-01,914.7365372026376
2009-01-02,912.5373356814456
2009-01-05,975.9908213064033
2009-01-06,1025.6546637770132
2009-01-07,999.7928466683979
2009-01-08,968.513163493672
2009-01-09,996.1879845197954
2009-01-12,1003.5494009634272
2009-01-13,1003.5113665818806
2009-01-14,1044.6178867680826
2009-01-15,1044.954459490331
2009-01-16,1049.3895978858625
2009-01-19,1071.9024012415368
2009-01-20,1100.6037356104744
2009-01-21,1092.00798337365
2009-01-22,1092.0392893102753
2009-01-23,1108.6241569130991
2009-01-26,1079.7530766416896
2009-01-27,1076.555994305659
2009-01-28,1072.2820083936012
2009-01-29,1084.1283901522977
2009-01-30,1106.5046647676143
2009-02-02,1117.4967855611856
2009-02-03,1128.3972547567016
2009-02-04,1168.422166205438
2009-02-05,1165.5693073063533
2009-02-06,1201.6137194301632
2009-02-09,1212.756538308362
2009-02-10,1225.1748974807876
2009-02-11,1244.297650404931
2009-02-12,1239.2164187196615
2009-02-13,1267.3607267628113
2009-02-16,1341.1517014698948
2009-02-17,1307.732674342288
2009-02-18,1239.65220641512
2009-02-19,1251.3624549560836
2009-02-20,1279.5716204941625
2009-02-23,1291.390716669119
2009-02-24,1222.8289447752506
2009-02-25,1223.7899714961775
2009-02-26,1168.7108605464587
2009-02-27,1146.716644445955
2009-03-02,1159.7316901983154
2009-03-03,1150.5812757124854
2009-03-04,1223.0578181214808
2009-03-05,1233.9447444076561
2009-03-06,1206.9895914312197
2009-03-09,1170.6930935101407
2009-03-10,1177.3308203375016
2009-03-11,1170.6782885330033
2009-03-12,1167.6118216870861
2009-03-13,1153.7044835491324
2009-03-16,1159.857881350163
2009-03-17,1193.5019503056824
